timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
2051396000,2043324000,2045228000,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2051612000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2052120000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2052624000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2053128000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2053632000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2054136000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2054640000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2055144000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2055648000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2056152000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2056660000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2057104000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2057608000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2058116000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2058620000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2059124000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2059628000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2060132000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2060640000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2061144000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2061648000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2062156000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2062660000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2063164000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2063668000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2064176000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2064548000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2065052000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2065556000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2066060000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2066564000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2067072000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2067576000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2068080000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2068584000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2069088000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2069592000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2070096000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2070600000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2071104000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2071608000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2072112000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2072616000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2073120000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2073624000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2073984000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2074488000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2074992000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2075496000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2076000000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2076508000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2077012000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2077512000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2078016000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2078516000,2043324000,2045228000,2051612000,2147411071,8307839,0,2,4,6,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
