timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]
2018468000,0.0,0.62355024,-0.0029469393,-0.0030619865,0.7817718,0.0,0.0,-0.3469034
2018516000,0.0,0.62351894,-0.003458271,-0.0029836209,0.78179497,0.0,0.0,-0.35129306
2018572000,0.0,0.62355185,-0.0037436865,-0.0029333897,0.7817676,0.0,0.0,-0.35841233
2018620000,0.0,0.6235958,-0.00398902,-0.002724507,0.7817321,0.0,0.0,-0.36272448
2018668000,0.0,0.6236504,-0.004441879,-0.0027511173,0.78168607,0.0,0.0,-0.36929992
2018716000,0.0,0.62372595,-0.0044164252,-0.0022143384,0.78162754,0.0,0.0,-0.37427425
2018764000,0.0,0.6236832,-0.004099333,-0.0025024917,0.7816624,0.0,0.0,-0.37931335
2018820000,0.0,0.6236762,-0.003794822,-0.002851295,0.7816685,0.0,0.0,-0.38758504
2018868000,0.0,0.6237681,-0.00449748,-0.0027474419,0.7815917,0.0,0.0,-0.39410666
2018916000,0.0,0.6237387,-0.0044483324,-0.0028051555,0.7816153,0.0,0.0,-0.39943275
2018972000,0.0,0.6236605,-0.004372846,-0.0032908292,0.7816762,0.0,0.0,-0.4081699
2019012000,0.0,0.6237288,-0.0046204478,-0.0030913542,0.78162104,0.0,0.0,-0.4134084
2019068000,0.0,0.6235759,-0.004883917,-0.0032510068,0.78174084,0.0,0.0,-0.42101696
2019116000,0.0,0.62367684,-0.005295723,-0.0040189764,0.78165406,0.0,0.0,-0.42692536
2019164000,0.0,0.62365997,-0.005417452,-0.0038726053,0.7816675,0.0,0.0,-0.4327901
2019220000,0.0,0.62366164,-0.0052452753,-0.0037498437,0.78166795,0.0,0.0,-0.44207048
2019268000,0.0,0.6237276,-0.0053214487,-0.0037893434,0.78161454,0.0,0.0,-0.44892967
2019316000,0.0,0.62365216,-0.0052390182,-0.0036417935,0.78167593,0.0,0.0,-0.45556164
2019364000,0.0,0.6235903,-0.0053576604,-0.0034519623,0.78172547,0.0,0.0,-0.4618828
2019420000,0.0,0.6236929,-0.0060721985,-0.0032333431,0.78163934,0.0,0.0,-0.4717468
2019468000,0.0,0.6236503,-0.006296844,-0.0027759054,0.7816732,0.0,0.0,-0.4791533
2019516000,0.0,0.6237061,-0.0061814813,-0.0034692946,0.7816269,0.0,0.0,-0.4860531
2019572000,0.0,0.6237477,-0.0061967843,-0.0033763207,0.7815939,0.0,0.0,-0.49696705
2019620000,0.0,0.62386703,-0.0062565105,-0.0028966842,0.7815001,0.0,0.0,-0.50431186
2019668000,0.0,0.6238376,-0.0065558837,-0.003149528,0.7815202,0.0,0.0,-0.5124459
2019716000,0.0,0.6239178,-0.006525425,-0.0030011118,0.78145707,0.0,0.0,-0.519406
2019764000,0.0,0.6239214,-0.0071657896,-0.0028315524,0.78144914,0.0,0.0,-0.5264476
2019820000,0.0,0.6240298,-0.0069466713,-0.0029184206,0.78136426,0.0,0.0,-0.53816724
2019868000,0.0,0.62401295,-0.0072640595,-0.0030854978,0.78137416,0.0,0.0,-0.5457644
2019916000,0.0,0.6239672,-0.00869524,-0.0029903138,0.78139645,0.0,0.0,-0.5536576
2019972000,0.0,0.62405515,-0.008227115,-0.003545737,0.78132904,0.0,0.0,-0.59128964
2020012000,0.0,0.6240416,-0.008421991,-0.0037624072,0.7813367,0.0,0.0,-0.598627
2020068000,0.0,0.6240256,-0.008500891,-0.0026698846,0.7813531,0.0,0.0,-0.6079497
2020116000,0.0,0.6238764,-0.008389808,-0.0020363538,0.78147537,0.0,0.0,-0.6164306
2020172000,0.0,0.6237941,-0.008703863,-0.0023417776,0.78153676,0.0,0.0,-0.62959486
2020212000,0.0,0.62384313,-0.008726875,-0.0030666124,0.7814948,0.0,0.0,-0.637363
2020268000,0.0,0.6238459,-0.008939494,-0.002438431,0.7814924,0.0,0.0,-0.6468329
2020316000,0.0,0.62390924,-0.009195428,-0.002958918,0.7814372,0.0,0.0,-0.6554429
2020372000,0.0,0.62388515,-0.009246779,-0.0031925447,0.7814549,0.0,0.0,-0.66955817
2020412000,0.0,0.62395024,-0.008977634,-0.0035150447,0.7814046,0.0,0.0,-0.6779684
2020468000,0.0,0.623966,-0.008268006,-0.0029104063,0.78140235,0.0,0.0,-0.6880413
2020516000,0.0,0.62406725,-0.008556584,-0.0023563555,0.78132015,0.0,0.0,-0.6971359
2020572000,0.0,0.6240762,-0.008479045,-0.0021743004,0.78131455,0.0,0.0,-0.7104646
2020620000,0.0,0.6240843,-0.0080571715,-0.0023652266,0.7813119,0.0,0.0,-0.7173349
2020668000,0.0,0.6240696,-0.007666102,-0.001953395,0.7813287,0.0,0.0,-0.7235973
2020716000,0.0,0.6240676,-0.006789421,-0.0013064074,0.7813398,0.0,0.0,-0.7288975
2020764000,0.0,0.6240642,-0.005695848,-0.000109731045,0.7813523,0.0,0.0,-0.73417455
2020820000,0.0,0.62412804,-0.004123042,0.0013101076,0.78131014,0.0,0.0,-0.7413991
2020868000,0.0,0.62419516,-0.0013340876,0.0021373127,0.7812644,0.0,0.0,-0.7431443
2020916000,0.0,0.62424654,0.0008425372,0.0033259653,0.7812199,0.0,0.0,-0.7443038
2020964000,0.0,0.6242355,0.0026042035,0.0041339784,0.7812209,0.0,0.0,-0.7446524
2021020000,0.0,0.62424344,0.0049435347,0.005239017,0.7811967,0.0,0.0,-0.7495138
2021068000,0.0,0.6241344,0.006132095,0.0062202397,0.78126824,0.0,0.0,-0.7500068
2021116000,0.0,0.62416214,0.0081559345,0.006415333,0.7812259,0.0,0.0,-0.7492067
2021172000,0.0,0.62400484,0.009333943,0.007047706,0.78133297,0.0,0.0,-0.7535688
2021212000,0.0,0.6238331,0.010147367,0.007599662,0.7814547,0.0,0.0,-0.75405616
2021268000,0.0,0.6236846,0.010448494,0.0065483092,0.78157884,0.0,0.0,-0.7523379
2021316000,0.0,0.6237635,0.011781159,0.007024693,0.7814927,0.0,0.0,-0.7520504
2021372000,0.0,0.6238728,0.011550543,0.006416149,0.7814143,0.0,0.0,-0.7534084
2021412000,0.0,0.6238687,0.010778015,0.0067858975,0.78142536,0.0,0.0,-0.74427813
2021468000,0.0,0.6237617,0.0116395615,0.006403905,0.78150165,0.0,0.0,-0.7278874
2021516000,0.0,0.6237265,0.011507326,0.00596965,0.78153515,0.0,0.0,-0.7238801
2021564000,0.0,0.6237555,0.011161252,0.005625855,0.78151965,0.0,0.0,-0.7242534
2021612000,0.0,0.62371427,0.011233373,0.006021946,0.78154856,0.0,0.0,-0.731182
2021668000,0.0,0.62373763,0.011939399,0.006240746,0.7815177,0.0,0.0,-0.718252
2021716000,0.0,0.6239242,0.012223225,0.0063610836,0.78136337,0.0,0.0,-0.7177209
2021772000,0.0,0.62386435,0.012318704,0.006044883,0.7814122,0.0,0.0,-0.724066
2021812000,0.0,0.6238761,0.012593669,0.0063576256,0.78139585,0.0,0.0,-0.7247637
2021868000,0.0,0.6239169,0.0119259115,0.0061099594,0.7813757,0.0,0.0,-0.72110623
2021916000,0.0,0.623926,0.0118983295,0.005991876,0.78136986,0.0,0.0,-0.7207607
2021964000,0.0,0.6238759,0.012116913,0.0059038447,0.78140724,0.0,0.0,-0.7197338
2022012000,0.0,0.62373894,0.012275203,0.0063170576,0.7815109,0.0,0.0,-0.7255543
2022068000,0.0,0.62359583,0.012023079,0.0062233275,0.78162974,0.0,0.0,-0.7217034
2022116000,0.0,0.6236184,0.01236913,0.0053664492,0.7816127,0.0,0.0,-0.7206689
2022164000,0.0,0.62355536,0.012152681,0.0061676893,0.7816603,0.0,0.0,-0.719635
2022220000,0.0,0.6235487,0.011029824,0.006354383,0.7816809,0.0,0.0,-0.72400945
2022268000,0.0,0.6235717,0.011414822,0.005805514,0.78166133,0.0,0.0,-0.72005874
2022316000,0.0,0.6236284,0.010638289,0.0053891996,0.7816299,0.0,0.0,-0.71853966
2022372000,0.0,0.6236548,0.0097127445,0.004365821,0.7816273,0.0,0.0,-0.7230569
2022412000,0.0,0.62348723,0.009324281,0.004345786,0.7817658,0.0,0.0,-0.7224896
2022468000,0.0,0.62347615,0.008612726,0.0041860086,0.78178364,0.0,0.0,-0.7177891
2022516000,0.0,0.6234124,0.008843547,0.0038399335,0.78183377,0.0,0.0,-0.71665883
2022564000,0.0,0.623383,0.008916845,0.0032438694,0.7818591,0.0,0.0,-0.7158516
2022620000,0.0,0.6235562,0.008285662,0.0036556534,0.7817261,0.0,0.0,-0.7197612
2022668000,0.0,0.6235831,0.008372822,0.004185056,0.781701,0.0,0.0,-0.7161402
2022716000,0.0,0.62367004,0.0071773943,0.0038888298,0.78164506,0.0,0.0,-0.71482056
