timestamp,airspeed_timestamp_rel,airspeed_validated_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
2038676000,32767,32767,32767,32767,32767,32767,32767
2038680000,32767,32767,32767,32767,32767,32767,32767
2038684000,32767,32767,32767,32767,32767,32767,32767
2038688000,32767,32767,32767,32767,32767,-40,32767
2038692000,32767,32767,32767,32767,32767,32767,32767
2038696000,32767,32767,32767,32767,0,32767,32767
2038700000,32767,32767,32767,32767,32767,32767,32767
2038704000,32767,32767,32767,32767,32767,32767,32767
2038708000,32767,32767,32767,32767,32767,32767,32767
2038712000,32767,32767,32767,32767,32767,32767,32767
2038716000,32767,32767,32767,32767,32767,32767,32767
2038720000,32767,32767,32767,32767,32767,32767,32767
2038724000,32767,32767,32767,32767,32767,32767,32767
2038728000,32767,32767,32767,32767,32767,32767,32767
2038732000,32767,32767,32767,32767,32767,32767,32767
2038736000,32767,32767,32767,32767,32767,-40,32767
2038740000,32767,32767,32767,32767,32767,32767,32767
2038744000,32767,32767,32767,32767,32767,32767,32767
2038748000,32767,32767,32767,32767,32767,32767,32767
2038752000,32767,32767,32767,32767,32767,32767,32767
2038756000,32767,32767,32767,32767,32767,32767,32767
2038760000,32767,32767,32767,32767,32767,32767,32767
2038764000,32767,32767,32767,32767,32767,32767,32767
2038768000,32767,32767,32767,32767,32767,32767,32767
2038772000,32767,32767,32767,32767,-40,32767,32767
2038776000,32767,32767,32767,32767,32767,32767,32767
2038780000,32767,32767,32767,32767,32767,32767,32767
2038784000,32767,32767,32767,32767,32767,32767,32767
2038788000,32767,32767,32767,32767,32767,32767,32767
2038792000,32767,32767,32767,32767,32767,32767,32767
2038796000,32767,32767,32767,32767,32767,32767,32767
2038800000,32767,32767,32767,32767,32767,32767,32767
2038804000,32767,32767,32767,32767,32767,32767,32767
2038808000,32767,32767,32767,32767,32767,32767,32767
2038812000,32767,32767,32767,32767,32767,32767,32767
2038816000,32767,32767,32767,32767,32767,32767,32767
2038820000,32767,32767,32767,32767,32767,32767,32767
2038824000,32767,32767,32767,32767,32767,32767,32767
2038828000,32767,32767,32767,32767,32767,0,32767
2038832000,32767,32767,32767,32767,32767,32767,32767
2038836000,32767,32767,32767,32767,32767,32767,32767
2038840000,32767,32767,32767,32767,0,32767,32767
2038844000,32767,32767,32767,32767,32767,32767,32767
2038848000,32767,32767,32767,32767,32767,32767,32767
2038852000,32767,32767,32767,32767,32767,32767,32767
2038856000,32767,32767,32767,32767,32767,32767,32767
2038860000,32767,32767,32767,32767,32767,32767,32767
2038864000,32767,32767,32767,32767,32767,32767,32767
2038868000,32767,32767,32767,32767,32767,32767,32767
2038872000,32767,32767,32767,32767,32767,32767,32767
2038876000,32767,32767,32767,32767,32767,32767,32767
2038880000,32767,32767,32767,32767,32767,-40,32767
2038884000,32767,32767,32767,32767,32767,32767,32767
2038888000,32767,32767,32767,32767,32767,32767,32767
2038892000,32767,32767,32767,32767,32767,32767,32767
2038896000,32767,32767,32767,32767,32767,32767,32767
2038900000,32767,32767,32767,32767,32767,32767,32767
2038904000,32767,32767,32767,32767,32767,32767,32767
2038908000,32767,32767,32767,32767,32767,32767,32767
2038912000,32767,32767,32767,32767,0,32767,32767
2038916000,32767,32767,32767,32767,32767,32767,32767
2038920000,32767,32767,32767,32767,32767,32767,32767
2038924000,32767,32767,32767,32767,32767,32767,32767
2038928000,32767,32767,32767,32767,32767,32767,32767
2038932000,32767,32767,32767,32767,32767,32767,32767
2038936000,32767,32767,32767,32767,32767,32767,32767
2038940000,32767,32767,32767,32767,32767,32767,32767
2038944000,32767,32767,32767,32767,32767,32767,32767
2038948000,32767,32767,32767,32767,32767,32767,32767
2038952000,32767,32767,32767,32767,32767,32767,32767
2038956000,32767,32767,32767,32767,32767,32767,32767
2038960000,32767,32767,32767,32767,32767,32767,32767
2038964000,32767,32767,32767,32767,32767,32767,32767
2038968000,32767,32767,32767,32767,32767,32767,32767
2038972000,32767,32767,32767,32767,32767,32767,32767
2038976000,32767,32767,32767,32767,32767,-40,32767
2038980000,32767,32767,32767,32767,32767,32767,32767
2038984000,32767,32767,32767,32767,32767,32767,32767
2038988000,32767,32767,32767,32767,-40,32767,32767
2038992000,32767,32767,32767,32767,32767,32767,32767
2038996000,32767,32767,32767,32767,32767,32767,32767
2039000000,32767,32767,32767,32767,32767,32767,32767
2039004000,32767,32767,32767,32767,32767,32767,32767
2039008000,32767,32767,32767,32767,32767,32767,32767
2039012000,32767,32767,32767,32767,32767,32767,32767
2039016000,32767,32767,32767,32767,32767,32767,32767
2039020000,32767,32767,32767,32767,32767,0,32767
2039024000,32767,32767,32767,32767,32767,32767,32767
2039028000,32767,32767,32767,32767,32767,32767,32767
2039032000,32767,32767,32767,32767,32767,32767,32767
2039036000,32767,32767,32767,32767,32767,32767,32767
2039040000,32767,32767,32767,32767,32767,32767,32767
2039044000,32767,32767,32767,32767,32767,32767,32767
2039048000,32767,32767,32767,32767,32767,32767,32767
2039052000,32767,32767,32767,32767,32767,32767,32767
2039056000,32767,32767,32767,32767,0,32767,32767
2039060000,32767,32767,32767,32767,32767,32767,32767
2039064000,32767,32767,32767,32767,32767,32767,32767
2039068000,32767,32767,32767,32767,32767,32767,32767
2039072000,32767,32767,32767,32767,32767,32767,32767
2039076000,32767,32767,32767,32767,32767,32767,32767
2039080000,32767,32767,32767,32767,32767,32767,32767
2039084000,32767,32767,32767,32767,32767,32767,32767
2039088000,32767,32767,32767,32767,32767,32767,32767
2039092000,32767,32767,32767,32767,32767,32767,32767
2039096000,32767,32767,32767,32767,32767,32767,32767
2039100000,32767,32767,32767,32767,32767,32767,32767
2039104000,32767,32767,32767,32767,32767,32767,32767
2039108000,32767,32767,32767,32767,32767,32767,32767
2039112000,32767,32767,32767,32767,32767,32767,32767
2039116000,32767,32767,32767,32767,32767,0,32767
2039120000,32767,32767,32767,32767,32767,32767,32767
2039124000,32767,32767,32767,32767,32767,32767,32767
2039128000,32767,32767,32767,32767,32767,32767,32767
2039132000,32767,32767,32767,32767,-40,32767,32767
2039136000,32767,32767,32767,32767,32767,32767,32767
2039140000,32767,32767,32767,32767,32767,32767,32767
2039144000,32767,32767,32767,32767,32767,32767,32767
2039148000,32767,32767,32767,32767,32767,32767,32767
2039152000,32767,32767,32767,32767,32767,32767,32767
2039156000,32767,32767,32767,32767,32767,32767,32767
2039160000,32767,32767,32767,32767,32767,32767,32767
2039164000,32767,32767,32767,32767,32767,32767,32767
2039168000,32767,32767,32767,32767,32767,-40,32767
2039172000,32767,32767,32767,32767,32767,32767,32767
2039176000,32767,32767,32767,32767,32767,32767,32767
2039180000,32767,32767,32767,32767,32767,32767,32767
2039184000,32767,32767,32767,32767,32767,32767,32767
2039188000,32767,32767,32767,32767,32767,32767,32767
2039192000,32767,32767,32767,32767,32767,32767,32767
2039196000,32767,32767,32767,32767,32767,32767,32767
2039200000,32767,32767,32767,32767,32767,32767,32767
2039204000,32767,32767,32767,32767,-40,32767,32767
2039208000,32767,32767,32767,32767,32767,32767,32767
2039212000,32767,32767,32767,32767,32767,32767,32767
2039216000,32767,32767,32767,32767,32767,32767,32767
2039220000,32767,32767,32767,32767,32767,32767,32767
2039224000,32767,32767,32767,32767,32767,32767,32767
2039228000,32767,32767,32767,32767,32767,32767,32767
2039232000,32767,32767,32767,32767,32767,32767,32767
2039236000,32767,32767,32767,32767,32767,32767,32767
2039240000,32767,32767,32767,32767,32767,32767,32767
2039244000,32767,32767,32767,32767,32767,32767,32767
2039248000,32767,32767,32767,32767,32767,32767,32767
2039252000,32767,32767,32767,32767,32767,-40,32767
2039256000,32767,32767,32767,32767,32767,32767,32767
2039260000,32767,32767,32767,32767,32767,32767,32767
2039264000,32767,32767,32767,32767,32767,32767,32767
2039268000,32767,32767,32767,32767,32767,32767,32767
2039272000,32767,32767,32767,32767,0,32767,32767
2039276000,32767,32767,32767,32767,32767,32767,32767
2039280000,32767,32767,32767,32767,32767,32767,32767
2039284000,32767,32767,32767,32767,32767,32767,32767
2039288000,32767,32767,32767,32767,32767,32767,32767
2039292000,32767,32767,32767,32767,32767,32767,32767
2039296000,32767,32767,32767,32767,32767,32767,32767
2039300000,32767,32767,32767,32767,32767,32767,32767
2039304000,32767,32767,32767,32767,32767,32767,32767
2039308000,32767,32767,32767,32767,32767,0,32767
2039312000,32767,32767,32767,32767,32767,32767,32767
2039316000,32767,32767,32767,32767,32767,32767,32767
2039320000,32767,32767,32767,32767,32767,32767,32767
2039324000,32767,32767,32767,32767,32767,32767,32767
2039328000,32767,32767,32767,32767,32767,32767,32767
2039332000,32767,32767,32767,32767,32767,32767,32767
2039336000,32767,32767,32767,32767,32767,32767,32767
2039340000,32767,32767,32767,32767,32767,32767,32767
2039344000,32767,32767,32767,32767,32767,32767,32767
2039348000,32767,32767,32767,32767,-40,32767,32767
2039352000,32767,32767,32767,32767,32767,32767,32767
2039356000,32767,32767,32767,32767,32767,32767,32767
2039360000,32767,32767,32767,32767,32767,32767,32767
2039364000,32767,32767,32767,32767,32767,32767,32767
2039368000,32767,32767,32767,32767,32767,32767,32767
2039372000,32767,32767,32767,32767,32767,32767,32767
2039376000,32767,32767,32767,32767,32767,32767,32767
2039380000,32767,32767,32767,32767,32767,32767,32767
2039384000,32767,32767,32767,32767,32767,32767,32767
2039388000,32767,32767,32767,32767,32767,32767,32767
