timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
2026708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.07500798,0.0111928675,1.4295673e-10,-0.02030283,-0.03313558,-9.729557,-0.0022157498,0.0049854377,-0.005603291,0.0041305865,0.0036569918,0.002548933,7.748903e-05,7.1417904e-05,0.000109273504,11.814731,11.814731
2027708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.07868138,0.0109582,1.572941e-10,-0.016950948,-0.011779302,-9.776579,0.0034940676,-0.001384844,0.007435546,0.0070266863,0.0047280733,0.0048208553,0.0001252778,6.224788e-05,0.00012058261,11.814249,11.814249
2028708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.08235615,0.01090109,1.3481607e-10,-0.02375048,-0.021643413,-9.769205,0.002130529,-0.0022583606,0.005837649,0.0029338938,0.0054706605,0.006666507,6.695252e-05,0.00011523492,8.500227e-05,11.813991,11.813991
2029708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0789835,0.011413818,3.5121233e-09,-0.033997662,0.008810833,-9.820632,-0.27292076,0.16735305,-0.034429345,0.0073295753,0.0031009875,0.006656864,0.0019202745,8.2484905e-05,0.0003237901,11.81385,11.81385
2030708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.07933496,0.010587509,4.6816506e-09,0.10304644,0.7253475,-10.07911,-0.049662627,-0.0067324634,-0.45970422,0.005717623,0.004782796,0.005394454,0.00039668602,0.00017196487,0.00023530121,11.813503,11.813503
2031708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.08091627,0.011401038,1.0841784e-08,-0.80933595,1.3868176,-9.685886,0.2098784,0.139294,-0.7948364,0.0081280125,0.0037958042,0.004966997,0.0002338014,0.0002559921,0.00010937761,11.813519,11.813519
2032708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.07921846,0.01142287,5.8181273e-09,-1.633516,0.5673302,-9.705136,-0.0572047,-0.07020092,-0.49967295,0.0030937276,0.0053650932,0.0054284018,0.00011503919,0.0001470733,7.530548e-05,11.813798,11.813798
2033708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.07907949,0.010680137,1.6372681e-09,-1.6383044,-0.025091065,-9.643174,-0.017086841,-0.023968449,-0.15050057,0.004497639,0.005045828,0.0057185916,7.9386016e-05,0.00012534684,0.00017929845,11.813713,11.813713
2034708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.084994994,0.010304426,1.8378701e-10,-1.7096516,-0.05813105,-9.648441,-0.013848438,0.014253238,-0.0016405071,0.0065007545,0.005275307,0.006681759,0.00014355073,5.3247102e-05,9.146678e-05,11.813564,11.813564
2035708000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.08145624,0.01081277,1.531833e-10,-1.7066828,-0.026048746,-9.637332,0.008287758,0.001171791,-0.006711166,0.0030766071,0.005444312,0.004520563,3.9530354e-05,9.875023e-05,8.004987e-05,11.813473,11.813473
