timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
2061144000,-0.0027000445,0,0,0,0,0,0,0,0,0
2061648000,-0.002998069,0,0,0,0,0,0,0,0,0
2062156000,-0.0017625585,0,0,0,0,0,0,0,0,0
2062660000,-0.0016139795,0,0,0,0,0,0,0,0,0
2063164000,-0.0013469586,0,0,0,0,0,0,0,0,0
2063668000,-0.0014810232,0,0,0,0,0,0,0,0,0
2064176000,-0.0006654408,0,0,0,0,0,0,0,0,0
2064548000,0.00014045248,0,0,0,0,0,0,0,0,0
2065052000,-4.6242727e-05,0,0,0,0,0,0,0,0,0
2065556000,-0.0006780927,0,0,0,0,0,0,0,0,0
2066060000,-8.898717e-05,0,0,0,0,0,0,0,0,0
2066564000,-0.0005710406,0,0,0,0,0,0,0,0,0
2067072000,-2.4978013e-05,0,0,0,0,0,0,0,0,0
2067576000,0.0018808251,0,0,0,0,0,0,0,0,0
2068080000,0.002763682,0,0,0,0,0,0,0,0,0
2068584000,0.0031128428,0,0,0,0,0,0,0,0,0
2069088000,0.0027605286,0,0,0,0,0,0,0,0,0
2069592000,0.0017695089,0,0,0,0,0,0,0,0,0
2070096000,0.0023318576,0,0,0,0,0,0,0,0,0
2070600000,0.0020199502,0,0,0,0,0,0,0,0,0
2071104000,0.0014916642,0,0,0,0,0,0,0,0,0
2071608000,0.0017269586,0,0,0,0,0,0,0,0,0
2072112000,0.0016353233,0,0,0,0,0,0,0,0,0
2072616000,0.0014376427,0,0,0,0,0,0,0,0,0
2073120000,0.00027364327,0,0,0,0,0,0,0,0,0
2073624000,0.0008875317,0,0,0,0,0,0,0,0,0
2073984000,0.001294733,0,0,0,0,0,0,0,0,0
2074488000,0.0005784842,0,0,0,0,0,0,0,0,0
2074992000,-0.00015686166,0,0,0,0,0,0,0,0,0
2075496000,-0.0005031215,0,0,0,0,0,0,0,0,0
2076000000,7.917726e-06,0,0,0,0,0,0,0,0,0
2076508000,-0.00080290437,0,0,0,0,0,0,0,0,0
2077012000,-0.0015709917,0,0,0,0,0,0,0,0,0
2077512000,-0.00017829443,0,0,0,0,0,0,0,0,0
2078016000,0.0010541356,0,0,0,0,0,0,0,0,0
2078516000,0.00021200423,0,0,0,0,0,0,0,0,0
2079020000,0.00034490423,0,0,0,0,0,0,0,0,0
2079524000,0.00034645805,0,0,0,0,0,0,0,0,0
2080028000,0.000577688,0,0,0,0,0,0,0,0,0
2080532000,0.0005260363,0,0,0,0,0,0,0,0,0
2081036000,-0.0005942392,0,0,0,0,0,0,0,0,0
2081540000,-0.0011032652,0,0,0,0,0,0,0,0,0
2081660000,-0.001019387,0,0,0,0,0,0,0,0,0
2081672000,-0.001019387,0,0,0,0,0,0,0,0,0
2081684000,-0.001019387,0,0,0,0,0,0,0,0,0
2082188000,-0.008874362,0,0,0,0,0,0,0,0,0
2082692000,-0.019335467,0,0,0,0,0,0,0,0,0
2083196000,-0.018926928,0,0,0,0,0,0,0,0,0
2083700000,-0.016976455,0,0,0,0,0,0,0,0,0
2084204000,-0.015733087,0,0,0,0,0,0,0,0,0
2084712000,-0.013368945,0,0,0,0,0,0,0,0,0
2085212000,-0.012401919,0,0,0,0,0,0,0,0,0
2085716000,-0.011204748,0,0,0,0,0,0,0,0,0
2086220000,-0.32205862,0,0,0,0,0,0,0,0,0
2086724000,-0.48407072,0,0,0,0,0,0,0,0,0
2087232000,-0.4384286,0,0,0,0,0,0,0,0,0
2087740000,-0.3969959,0,0,0,0,0,0,0,0,0
2088244000,-0.35942006,0,0,0,0,0,0,0,0,0
2088748000,-0.3263922,0,0,0,0,0,0,0,0,0
2089252000,-0.29621047,0,0,0,0,0,0,0,0,0
2089348000,-0.29079327,0,0,0,0,0,0,0,0,0
2089852000,-0.26292804,0,0,0,0,0,0,0,0,0
