timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
22888000,0.014155924,-0.016828656,3.453931e-05
23088000,0.009652123,-0.010702153,-1.6601984e-06
23288000,0.007367632,-0.0077897613,-1.0839403e-05
23488000,0.0059843645,-0.006107967,-4.6885143e-06
23688000,0.004831637,-0.004658278,-4.109314e-06
23888000,0.0039735693,-0.0035444393,-5.0173807e-05
24088000,0.0031280776,-0.0021989562,-3.3482364e-05
24288000,0.0025518646,-0.0011723441,2.3511415e-05
24488000,0.0020729988,-0.000558226,6.2141853e-06
24688000,0.0018478684,7.657696e-05,-1.1633912e-05
24888000,0.0012545733,0.00069462834,5.0140416e-06
25088000,0.0011292333,0.0010794615,-2.9641624e-05
25288000,0.0006634821,0.0015612913,-4.6676567e-05
25488000,0.0007144305,0.0016658377,-4.13332e-05
25684000,0.00037047002,0.0018334857,-1.9738123e-05
25888000,0.00036203486,0.001973531,-0.000101471196
26088000,0.00022549886,0.0020671051,-2.5843676e-05
26288000,5.9947975e-05,0.002225307,-2.8769651e-05
26488000,3.521991e-05,0.0022002838,6.890351e-05
26688000,-4.3444776e-05,0.0023568857,-6.54697e-05
26888000,0.0001823551,0.002437982,-7.2188464e-05
27088000,9.867299e-05,0.0022587301,1.12303e-05
27288000,-5.7960074e-06,0.0022212623,1.2484257e-05
27488000,-4.3762484e-05,0.0021169002,3.386493e-06
27688000,-5.712476e-05,0.002328775,3.3231532e-05
27888000,-0.0001978285,0.002233488,1.8667808e-05
28084000,-0.0010196152,0.0012614788,-0.00024852905
28288000,-0.0044158567,0.0006403611,-0.0018727352
28488000,-0.0045696823,0.002458804,-0.0035041599
28688000,-0.0036948766,0.0025284784,-0.004635423
28888000,-0.0019043252,0.0017313679,-0.0055811754
29088000,0.0004432333,0.0012589847,-0.006952546
29288000,0.0012622345,0.0009701091,-0.008220715
29488000,0.0002744557,0.0003365712,-0.009203753
29688000,-0.00068348047,-0.0005241968,-0.010108486
29888000,-0.0015276114,-0.0025549734,-0.01077031
30084000,-9.371368e-05,-0.0020738752,-0.0107037285
30288000,-0.0004106444,-0.0031461017,-0.0084192585
30488000,-0.002931209,-0.0038897237,-0.0065929843
30688000,-0.00414862,-0.0050752005,-0.0061504305
30888000,-0.0070254807,-0.0075955954,-0.0060880794
