timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
8512000,8512000,197388,0.010298326,-0.22075264,0.4335702,0
8644000,8583272,197388,0.010728355,-0.21668443,0.42776534,0
8656000,8656000,197388,0.010868912,-0.22052102,0.4335179,0
8788000,8726181,197388,0.006655132,-0.21569864,0.42924324,0
8800000,8800000,197388,0.014218022,-0.21484827,0.4313586,0
8928000,8869818,197388,0.009422143,-0.21596459,0.42768908,0
8944000,8944000,197388,0.011721209,-0.21461724,0.4343898,0
9076000,9015272,197388,0.009172017,-0.21484035,0.42972106,0
9088000,9088000,197388,0.013246608,-0.21669067,0.4286877,0
9220000,9158545,197388,0.008551528,-0.21735992,0.4275841,0
9228000,9228000,197388,0.011612613,-0.22162701,0.4339772,0
9348000,9296400,197388,0.0097273765,-0.21474293,0.42911372,0
9376000,9368000,197388,0.012246353,-0.21709275,0.42372435,0
9492000,9440000,197388,0.008398319,-0.21477456,0.42776164,0
9520000,9512000,197388,0.0071337475,-0.21502958,0.4265879,0
9628000,9579555,197388,0.009544856,-0.21742132,0.42983276,0
9664000,9652000,197388,0.008842892,-0.21594289,0.42984277,0
9772000,9723111,197388,0.009316408,-0.21632996,0.42929363,0
9796000,9790000,197388,0.010969704,-0.21326628,0.42917895,0
9912000,9860800,197388,0.007888255,-0.21791208,0.42931005,0
9928000,9928000,197388,0.010632566,-0.21027684,0.42874533,0
10056000,9999272,197388,0.008803102,-0.21608381,0.4311959,0
10068000,10068000,197388,0.006391226,-0.21611375,0.42737782,0
10188000,10135600,197388,0.009097852,-0.21497956,0.42767105,0
10216000,10208000,197388,0.011407687,-0.21822593,0.42982006,0
10324000,10276000,197388,0.009863553,-0.21654123,0.42738682,0
10360000,10348000,197388,0.0057538557,-0.21452801,0.42651618,0
10468000,10418666,197388,0.009377737,-0.21745192,0.42958775,0
10500000,10488000,197388,0.010937154,-0.2172135,0.43120953,0
10600000,10557500,197388,0.008960484,-0.21708664,0.4294428,0
10648000,10629000,197388,0.010010635,-0.21367426,0.4292722,0
10732000,10696000,197388,0.009946855,-0.21571413,0.42733604,0
10792000,10767200,197388,0.009386956,-0.21557012,0.43152022,0
10864000,10834000,197388,0.010427386,-0.21521954,0.42799267,0
10932000,10903333,197388,0.0112518985,-0.21431975,0.43115243,0
10996000,10972000,197388,0.00791347,-0.214877,0.4287559,0
11080000,11042285,197388,0.010287714,-0.21685374,0.42871982,0
11128000,11109000,197388,0.007123444,-0.21617824,0.4304949,0
11224000,11181500,197388,0.009232608,-0.21498425,0.43105334,0
11272000,11251000,197388,0.010645573,-0.21302468,0.43074253,0
11352000,11319428,197388,0.009001619,-0.21547313,0.42809835,0
11416000,11391200,197388,0.007951143,-0.21692164,0.42902347,0
11488000,11458000,197388,0.010522073,-0.21593797,0.42866677,0
11560000,11529333,197388,0.0080424,-0.21452296,0.42898518,0
11620000,11596000,197388,0.008465878,-0.21909161,0.43100318,0
11700000,11666285,197388,0.009880567,-0.21608433,0.43023908,0
11764000,11738400,197388,0.009003208,-0.21763085,0.43063402,0
11848000,11810857,197388,0.010708097,-0.2159247,0.43022308,0
11908000,11883200,197388,0.008958786,-0.21642816,0.43032762,0
11992000,11955428,197388,0.009573623,-0.21496502,0.42995408,0
12052000,12027200,197388,0.0068201507,-0.2170879,0.42915183,0
12132000,12098857,197388,0.010675622,-0.21641669,0.4280354,0
12196000,12169600,197388,0.0056350045,-0.21646176,0.4292674,0
12268000,12238000,197388,0.010831701,-0.21438742,0.42829174,0
12340000,12308000,197388,0.008132403,-0.21564013,0.4308344,0
12400000,12376000,197388,0.01003152,-0.21252607,0.42878243,0
12484000,12446857,197388,0.01045162,-0.21638133,0.4256963,0
12532000,12514000,197388,0.009193864,-0.21353585,0.42999828,0
12628000,12584500,197388,0.007834068,-0.21520995,0.42892486,0
12664000,12652000,197388,0.008313484,-0.21349859,0.42934668,0
12768000,12723111,197388,0.010469445,-0.21834123,0.42859462,0
12808000,12794666,197388,0.009318871,-0.21632385,0.42718673,0
12912000,12866222,197388,0.010712348,-0.21821369,0.4296051,0
12952000,12938666,197388,0.0061472207,-0.21901123,0.42730558,0
13056000,13010222,197388,0.010124043,-0.21566856,0.42913663,0
13096000,13081333,197388,0.011717248,-0.21486811,0.42405576,0
13192000,13149500,197388,0.010440029,-0.21658893,0.42789984,0
13236000,13220000,197388,0.00911633,-0.21795046,0.43028182,0
13320000,13287428,197388,0.010657945,-0.21471828,0.42619377,0
13384000,13359200,197388,0.008223781,-0.21886821,0.4286091,0
13456000,13426000,197388,0.006697422,-0.21501875,0.4300561,0
13524000,13496000,197388,0.008891267,-0.2136687,0.4303912,0
13588000,13563200,197388,0.009929611,-0.21491568,0.42710763,0
13672000,13633714,197388,0.01007429,-0.2169717,0.42708433,0
13720000,13702000,197388,0.010687608,-0.21602367,0.43013442,0
13816000,13773000,197388,0.008549113,-0.21735926,0.42857113,0
