timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
41060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
67060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
