timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
38756000,38598000,38604000,0,0.29124305,-0.028348673,0.38289145,0.0025000002,0.0025000002,0.0025000002,-0.002147849,-0.00074601173,-0.00044471025,-0.0012534471,0.00012314331,0.00032735226,0.002521558,0.0025244905,0.0025142445,0.00020328064,2.453989e-05,8.697405e-06,-0.0001443051,5.83617e-05,2.0726648e-05,0,0,1
38828000,38670000,38676000,0,0.2908362,-0.03029257,0.3823166,0.0025000002,0.0025000002,0.0025000002,-0.0017325844,0.001131136,0.00013378263,-0.0013137581,0.00024995345,0.0003030871,0.0025214057,0.0025243894,0.0025141875,0.00013228286,5.6260447e-05,8.004123e-07,-0.00014279182,5.809721e-05,1.821845e-05,0,0,1
38900000,38741200,38748000,0,0.29007787,-0.030011335,0.38132063,0.0025000002,0.0025000002,0.0025000002,-0.0010907323,0.00068512745,0.0012079477,-0.001285958,0.00030415354,0.0004159396,0.0025212404,0.0025241843,0.0025140955,5.2429965e-05,2.0640908e-05,6.4539876e-05,-0.00013152823,5.3428284e-05,2.3992408e-05,0,0,1
38964000,38812000,38812000,0,0.29315645,-0.030234415,0.38171637,0.0025000002,0.0025000002,0.0025000002,-0.0041102963,0.00082541816,0.00076037645,-0.0016362788,0.0003686453,0.00045890204,0.002521079,0.0025240644,0.0025140378,0.0007445901,2.9895928e-05,2.5683108e-05,-0.00020757024,5.0509414e-05,2.4202116e-05,0,0,1
39036000,38879555,38884000,0,0.2923133,-0.031128692,0.38290668,0.0025000002,0.0025000002,0.0025000002,-0.0034901693,0.0015283115,-0.00025600195,-0.0018569439,0.00050654495,0.0003740162,0.0025209372,0.0025239682,0.0025139803,0.00053689384,0.00010267412,2.857176e-06,-0.000246769,5.671848e-05,2.0981299e-05,0,0,1
39108000,38952000,38956000,0,0.2913667,-0.03097982,0.37750107,0.0025000002,0.0025000002,0.0025000002,-0.0026023048,0.0013588388,0.0052147806,-0.001951272,0.00061429903,0.0009867976,0.0025207994,0.0025238798,0.0025139248,0.00029849395,8.11867e-05,0.0012025259,-0.00025331497,5.981502e-05,0.00017051007,0,0,1
39180000,39024000,39028000,0,0.2889871,-0.030796226,0.38248676,0.0025000002,0.0025000002,0.0025000002,-0.00019317726,0.0010284614,0.00018545985,-0.0017299734,0.00066642324,0.0008859419,0.0025206595,0.002523792,0.0025138715,1.6449598e-06,4.656132e-05,1.5218046e-06,-0.00022163623,5.8146725e-05,0.00014923883,0,0,1
39252000,39096000,39100000,0,0.28997862,-0.03136161,0.38477308,0.0025000002,0.0025000002,0.0025000002,-0.0014189057,0.0017259605,-0.0019144416,-0.001690818,0.0007997348,0.00053352735,0.0025205442,0.0025237193,0.0025138156,8.8750385e-05,0.00013108445,0.00016188824,-0.00020490935,6.7327695e-05,0.000110075984,0,0,1
39324000,39167555,39172000,0,0.29090396,-0.03002338,0.38225317,0.0025000002,0.0025000002,0.0025000002,-0.0022268798,0.0003111791,0.000529021,-0.0017579295,0.0007384803,0.00053309917,0.0025203784,0.0025235172,0.0025137267,0.00021861769,4.2437773e-06,1.2421291e-05,-0.00020662554,5.9429996e-05,9.785024e-05,0,0,1
39396000,39238666,39244000,0,0.29061624,-0.031328958,0.38076544,0.0025000002,0.0025000002,0.0025000002,-0.0017064519,0.0016947743,0.0018576384,-0.0017515199,0.00085748185,0.00069813157,0.0025202415,0.0025234383,0.0025136778,0.0001283818,0.00012638645,0.00015267964,-0.00019688313,6.7766974e-05,0.00010467724,0,0,1
