timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err,check_fail_spoofed_gps
1603196000,1603038000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1603604000,1603442000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1603996000,1603838000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1604396000,1604238000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1604796000,1604638000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1605196000,1605038000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1605596000,1605434000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1605996000,1605838000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1606396000,1606234000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1606796000,1606638000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1607196000,1607038000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1607596000,1607438000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1607996000,1607838000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1608396000,1608238000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1608796000,1608638000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1609196000,1609038000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1609596000,1609438000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1609996000,1609838000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1610396000,1610238000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1610796000,1610634000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1611196000,1611038000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1611604000,1611442000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1612004000,1611842000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1612404000,1612242000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1612796000,1612638000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1613196000,1613038000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1613604000,1613442000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1613996000,1613838000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1614404000,1614242000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1614804000,1614642000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1615204000,1615042000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1615596000,1615438000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
1616004000,1615842000,3.0179042e-05,0.0007635863,0.003619637,1,0,0,0,0,0,0,0,0,0,0,0
