timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
1606036000,0.0015978989,-0.000532632,0.0007989449,4000,0,0.008379709,-0.040701255,-9.7444,4000,0,0,0,1
1606040000,0.0005326332,0.00026631978,-0.0058589545,4000,0,0.07302317,-0.055066474,-9.719263,4000,0,0,0,1
1606048000,0.0061252336,-0.011185294,-0.0015979193,4000,0,0.07302317,0.028730594,-9.822214,4000,0,0,0,1
1606052000,-0.0031958218,-0.018109508,0.005059957,4000,0,0.10534488,0.08140303,-9.787498,4000,0,0,0,1
1606056000,-0.008522103,-0.01864214,0.0029294458,4000,0,0.119710095,0.088585645,-9.788693,4000,0,0,0,1
1606060000,-0.005326302,-0.022104247,2.9307852e-08,4000,0,0.06464346,0.034716096,-9.800665,4000,0,0,0,1
1606064000,-0.0029295126,-0.011984219,0.00479369,4000,0,-0.04548984,-0.017956343,-9.795877,4000,0,0,0,1
1606068000,-0.001597929,-0.0023968392,0.009054746,4000,0,-0.095768064,-0.065840386,-9.776724,4000,0,0,0,1
1606072000,-0.0013315531,-0.008255806,-0.0031957906,4000,0,-0.035913028,-0.0861911,-9.722853,4000,0,0,0,1
1606080000,-0.0053263213,-0.0034620962,-0.005326333,4000,0,0.01316811,1.7147177e-07,-9.824609,4000,0,0,0,1
1606088000,0.004527369,-0.015446334,0.001597923,4000,0,0.15203184,0.074220434,-9.7803135,4000,0,0,0,1
1606092000,0.0015978949,-0.011984229,0.0015978867,4000,0,0.119710095,0.09935954,-9.764753,4000,0,0,0,1
1606096000,-0.0066579254,-0.010386336,0.0069241873,4000,0,-0.023942018,0.050278414,-9.770737,4000,0,0,0,1
1606100000,-0.010652678,-0.0074568456,0.014114736,4000,0,-0.04548984,-0.031124454,-9.831791,4000,0,0,0,1
1606104000,-0.013848508,0.003728432,0.020239979,4000,0,0.0023942022,-0.05865778,-9.866506,4000,0,0,0,1
1606108000,-0.015978985,0.006391569,0.01944107,4000,0,-0.0023942022,-0.099359214,-9.892841,4000,0,0,0,1
1606112000,-0.007456842,0.0034621404,0.014913701,4000,0,-0.027533323,-0.0945708,-9.877279,4000,0,0,0,1
1606116000,0.0007989159,0.007456866,0.003994723,4000,0,-0.019153617,-0.019153446,-9.783907,4000,0,0,0,1
1606120000,0.0029294458,0.008522124,-0.008255806,4000,0,0.033518832,0.0023943724,-9.750386,4000,0,0,0,1
1606124000,0.0061252513,0.0029294705,-0.009853712,4000,0,0.06943185,0.01197118,-9.831791,4000,0,0,0,1
1606132000,0.011185274,-0.006125272,-0.016777916,4000,0,0.027533323,-0.07182589,-9.844959,4000,0,0,0,1
1606136000,0.0047936775,-0.005060005,-0.0074568605,4000,0,0.051475346,-0.0933737,-9.805454,4000,0,0,0,1
1606140000,0.00053261395,-0.007723169,-0.0005326438,4000,0,0.06105215,-0.050278075,-9.779117,4000,0,0,0,1
1606144000,-0.0015979026,-0.0047936905,0.0018642079,4000,0,-0.011971008,-0.0119708385,-9.776724,4000,0,0,0,1
1606148000,-0.012250544,-0.0013315878,0.0010652458,4000,0,-0.06943185,0.0011972707,-9.718066,4000,0,0,0,1
1606152000,-0.01225054,-0.004261073,-0.0026631495,4000,0,-0.020350713,0.0011972698,-9.661802,4000,0,0,0,1
1606156000,0.002396841,-0.0042610597,0.0002663369,4000,0,0.11013329,0.033519,-9.721657,4000,0,0,0,1
1606160000,0.0013315714,-0.0013315857,0.0063915886,4000,0,0.19273323,0.05985522,-9.78989,4000,0,0,0,1
1606168000,-0.007456852,-0.00026632266,0.0026631604,4000,0,0.01436521,-0.037109964,-9.812637,4000,0,0,0,1
1606172000,0.00026632025,-0.003994758,-0.006391578,4000,0,-0.039504327,0.011971182,-9.853339,4000,0,0,0,1
1606180000,-0.0045273653,-0.0015978782,-0.0050600204,4000,0,-0.08738836,-0.015562144,-9.740809,4000,0,0,0,1
1606188000,0.006391592,0.0066578873,-0.0034621335,4000,0,0.04668694,0.110133454,-9.624693,4000,0,0,0,1
1606192000,0.0050600125,-0.0037284414,0.004527356,4000,0,0.06703766,-0.01795634,-9.686939,4000,0,0,0,1
1606200000,0.024767403,0.0026631672,-0.0050599826,4000,0,-0.15203184,-0.019153446,-9.809044,4000,0,0,0,1
1606204000,0.018908449,0.0029294875,-0.0050599994,4000,0,-0.10175359,0.13527258,-9.703699,4000,0,0,0,1
