timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
1605496000,4000000.0,1.0,16940.24,0.0,776864,0,20.916336,2351,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606484000,4000000.0,1.0,17098.605,0.0,777229,0,20.916336,2352,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607428000,4000000.0,1.0,16927.291,0.0,777576,0,20.916336,2353,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1608400000,4000000.0,1.0,17434.264,0.0,777943,0,20.916336,2354,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610096000,4000000.0,1.0,16927.291,0.0,778577,0,20.916336,2356,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1611084000,4000000.0,1.0,17098.605,0.0,778940,0,41.832672,2357,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1612084000,4000000.0,1.0,16940.24,0.0,779313,0,20.916336,2358,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1613080000,4000000.0,1.0,17098.605,0.0,779683,0,20.916336,2360,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1614088000,4000000.0,1.0,17271.912,0.0,780059,0,64.741035,2362,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1615092000,4000000.0,1.0,17164.344,0.0,780428,0,46.81275,2363,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1616108000,4000000.0,1.0,16927.291,0.0,780808,0,20.916336,2364,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1617104000,4000000.0,1.0,17098.605,0.0,781178,0,20.916336,2365,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1618100000,4000000.0,1.0,16940.24,0.0,781551,0,20.916336,2366,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619100000,4000000.0,1.0,17421.314,0.0,781920,0,20.916336,2367,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1620120000,4000000.0,1.0,16927.291,0.0,782301,0,20.916336,2368,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1621136000,4000000.0,1.0,17111.555,0.0,782677,0,20.916336,2369,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1622140000,4000000.0,1.0,16927.291,0.0,783050,0,20.916336,2370,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1623148000,4000000.0,1.0,17098.605,0.0,783420,0,20.916336,2371,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1624172000,4000000.0,1.0,17262.95,0.0,783802,0,20.916336,2373,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1625180000,4000000.0,1.0,17151.395,0.0,784178,0,46.81275,2374,0,0,0,0,0.0,0,0,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
