timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
18035000,0.005259963,0.0005907698,-0.00072207686,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
18235000,0.001331674,-0.0012099158,-0.0010159796,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
18435000,-0.0083850715,0.0055310954,0.00043533172,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
18635000,0.0050132833,-5.820766e-11,5.820766e-11,0.0,0.0,-1.1641532e-10,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
18835000,0.0070909974,-0.007350824,0.0004999882,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
19035000,0.0014880636,-0.00026421074,-0.0009773388,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
19235000,0.00084360514,0.00017730752,-0.001364808,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
19435000,0.0030726711,0.007462737,1.5782727e-05,0.0,0.0,-2.3283064e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
19635000,-0.0013145383,0.0013745944,-0.00028217252,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
19835000,0.0061102984,0.0041687908,-0.00040729594,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
20035000,0.0010324878,-0.0032364272,0.00036000888,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
20235000,0.012451475,0.0061467225,-0.00091945496,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
20435000,0.0,5.820766e-11,-3.9284496e-06,0.0,0.0,0.0,0,1,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
20627000,-0.009940166,-0.00014202378,0.0004095066,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
20835000,0.0069213365,0.00787697,-0.0007516975,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
21035000,0.00988903,0.0050265184,3.7404036e-05,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
21235000,0.005645811,0.012993618,-0.00068149035,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
21435000,0.002316814,0.0022629397,-0.0018769652,0.0,0.0,-2.3283064e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
21635000,0.010619019,0.0022189966,0.0005433066,0.0,0.0,0.0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
21835000,0.012484328,0.009503065,-0.00022952097,0.0,0.0,-2.3283064e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
22035000,0.0072832378,0.0054334756,-0.0002939566,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
22235000,0.0077131777,0.012766627,-0.00048131196,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
22435000,-0.0028342963,0.0014961498,0.00079099904,0.0,0.0,-2.3283064e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
22635000,0.0076814354,0.00679898,4.32245e-05,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
22835000,0.016307065,-0.0021628765,-0.0008808296,0.0,0.0,2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
23035000,-0.0011448184,5.820766e-11,0.0005620617,0.0,0.0,0.0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
23235000,0.004288034,0.00051570754,-0.00057481555,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
23435000,-0.0008994987,0.0074021616,0.00013562432,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
23635000,0.0038794917,0.007849265,-0.00067812,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
23835000,0.008629364,0.012172258,-0.00079586875,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
24035000,0.0014888806,0.0013392081,0.00059443247,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
24235000,-0.00087990065,0.010817415,-0.00048773809,0.0,0.0,3.4924597e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
24435000,-0.0015308271,-0.0018411438,-0.0010727007,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
24635000,0.0024305044,0.0071574473,0.00035764402,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
24835000,0.0023086583,0.013394515,-7.287658e-05,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
25035000,-9.458745e-11,0.0,-0.0006245438,0.0,0.0,-1.1641532e-10,0,1,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
25235000,0.004830798,1.1641532e-10,-0.00010070042,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
25435000,0.0010149924,0.00787731,0.00013290341,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
25635000,-0.0013067008,0.0005622939,-0.00029128572,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
