timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
12531000,12510200,197388,0.009017001,-0.21823142,0.42669907,0
12619000,12582000,197388,0.0076830434,-0.21624483,0.4291239,0
12675000,12653400,197388,0.009819481,-0.21391225,0.4290572,0
12763000,12724500,197388,0.009444166,-0.21466832,0.42774516,0
12819000,12796600,197388,0.008580859,-0.21841173,0.4280784,0
12907000,12868000,197388,0.009979177,-0.21613246,0.42951515,0
12959000,12939000,197388,0.009099263,-0.21904866,0.42717862,0
13047000,13010500,197388,0.008429598,-0.21803713,0.43219644,0
13103000,13082200,197388,0.012193871,-0.21677795,0.43151703,0
13191000,13153500,197388,0.009175694,-0.21703836,0.43022695,0
13247000,13225400,197388,0.0071845106,-0.21697329,0.42899323,0
13335000,13297000,197388,0.008604674,-0.2174412,0.42949113,0
13391000,13368600,197388,0.010753113,-0.21494587,0.42918968,0
13479000,13440000,197388,0.009287458,-0.21775046,0.42757428,0
13535000,13511800,197388,0.011216223,-0.21417825,0.43274266,0
13623000,13583000,197388,0.010657034,-0.21966796,0.4272837,0
13675000,13654200,197388,0.012977461,-0.21612826,0.4311822,0
13763000,13726000,197388,0.009020533,-0.21557087,0.42983615,0
13819000,13797400,197388,0.012167933,-0.21517852,0.42603216,0
13907000,13869000,197388,0.008186108,-0.21546,0.4263724,0
13963000,13939800,197388,0.00882047,-0.21957378,0.4317026,0
14051000,14012000,197388,0.00996399,-0.21396826,0.42845246,0
14107000,14083800,197388,0.009459865,-0.21700917,0.4306186,0
14191000,14154500,197388,0.010108265,-0.21517709,0.42923862,0
14247000,14226200,197388,0.009195561,-0.21756203,0.42946798,0
14335000,14298000,197388,0.011723704,-0.21565099,0.42776155,0
14391000,14369400,197388,0.011035602,-0.21809292,0.431737,0
14479000,14441000,197388,0.009458338,-0.21578398,0.4308021,0
14535000,14512600,197388,0.0051546446,-0.21462487,0.43018904,0
14623000,14584000,197388,0.0103674065,-0.21576351,0.42927092,0
14679000,14655800,197388,0.010419831,-0.21397339,0.43050238,0
14767000,14727000,197388,0.009332151,-0.216635,0.43220386,0
14819000,14798200,197388,0.012511745,-0.21399358,0.42872697,0
14907000,14870000,197388,0.012696513,-0.21540084,0.43183485,0
14963000,14941400,197388,0.008970427,-0.21658735,0.42778516,0
15051000,15013000,197388,0.011330748,-0.21654722,0.42950055,0
15107000,15084600,197388,0.010562377,-0.2148056,0.43052822,0
15195000,15156000,197388,0.010423787,-0.21659459,0.4301716,0
15251000,15227800,197388,0.00954988,-0.21646026,0.4289503,0
15339000,15299000,197388,0.008883771,-0.21780737,0.42950138,0
15391000,15370200,197388,0.012161666,-0.21587348,0.4278215,0
15479000,15441500,197388,0.010809505,-0.21720922,0.42973745,0
15535000,15513400,197388,0.012588066,-0.21694438,0.43126664,0
15623000,15585000,197388,0.010774611,-0.21551904,0.43099508,0
15679000,15656600,197388,0.011640904,-0.21599197,0.4307242,0
15767000,15728000,197388,0.008525661,-0.21585411,0.4288623,0
15823000,15799800,197388,0.011254913,-0.22001515,0.42898822,0
15911000,15871000,197388,0.008626897,-0.21731617,0.4278171,0
15963000,15942200,197388,0.0087153455,-0.21903852,0.42666444,0
16051000,16014000,197388,0.008200294,-0.21721248,0.42912322,0
16107000,16085400,197388,0.012438994,-0.21687822,0.4284799,0
16195000,16157000,197388,0.008579128,-0.21707666,0.429938,0
16251000,16228600,197388,0.01153861,-0.21518746,0.43001062,0
16339000,16299500,197388,0.009640908,-0.21579677,0.43006298,0
16395000,16371800,197388,0.009217966,-0.21280181,0.4262413,0
16483000,16443000,197388,0.00824957,-0.21655968,0.4285701,0
16535000,16514200,197388,0.012522844,-0.21374476,0.43269506,0
16623000,16586000,197388,0.008454939,-0.21681704,0.42822,0
16679000,16657400,197388,0.009654904,-0.21615635,0.43285617,0
16767000,16729000,197388,0.009454339,-0.21747248,0.42988414,0
16823000,16800600,197388,0.009450474,-0.21356511,0.42874274,0
16911000,16872000,197388,0.009272185,-0.21804646,0.42912638,0
16967000,16943800,197388,0.0094508175,-0.21951154,0.43129155,0
17051000,17014500,197388,0.009188225,-0.21522069,0.4273255,0
17107000,17086200,197388,0.00980331,-0.21784635,0.42945465,0
17195000,17158000,197388,0.008826894,-0.21918738,0.42904013,0
17251000,17229400,197388,0.01084124,-0.21463929,0.4321204,0
17339000,17301000,197388,0.007939297,-0.21619682,0.43007115,0
17395000,17372600,197388,0.009006282,-0.2149009,0.42836347,0
17483000,17444000,197388,0.009886335,-0.21636878,0.43025783,0
17539000,17515800,197388,0.0119814025,-0.2141294,0.4327379,0
17627000,17587000,197388,0.010244432,-0.2162569,0.42917776,0
17679000,17657400,197388,0.0072320215,-0.21634014,0.42889127,0
17759000,17724714,197388,0.008586841,-0.21592034,0.42817673,0
17823000,17795666,197388,0.0095648235,-0.21791135,0.42832848,0
17891000,17862333,197388,0.010669235,-0.21575074,0.4316494,0
17967000,17933285,197388,0.009645541,-0.21455526,0.42803594,0
18031000,18005000,197388,0.011031248,-0.2146276,0.42919314,0
18111000,18076714,197388,0.009446296,-0.217804,0.428739,0
18175000,18147666,197388,0.009913916,-0.21630555,0.43000862,0
18243000,18214333,197388,0.0107990485,-0.21667111,0.42961693,0
18319000,18285285,197388,0.009636096,-0.21762921,0.428412,0
18383000,18357000,197388,0.010933366,-0.2172271,0.42769405,0
18459000,18428142,197388,0.009460077,-0.21441707,0.4267794,0
18527000,18499666,197388,0.010685965,-0.21658549,0.4291384,0
18595000,18566333,197388,0.008805647,-0.21494232,0.4299597,0
18671000,18637285,197388,0.007881838,-0.21465246,0.42930898,0
18735000,18709000,197388,0.011003114,-0.21780227,0.428082,0
18815000,18780142,197388,0.009941215,-0.21675022,0.4291082,0
18879000,18851666,197388,0.0101156095,-0.21577677,0.4292186,0
18947000,18918333,197388,0.009361808,-0.21623802,0.4286549,0
19023000,18989285,197388,0.007825582,-0.2155082,0.42837018,0
