timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
4707000,4555000,13421772800,0.00036652712,0.004751341,0.0030522223,0,0.87050635,7.1155534,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4715000,4563000,13421772800,0.00031740757,0.0045569204,0.0029497563,0,0.9043231,7.118414,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4723000,4571000,13421772800,0.0002710171,0.00436667,0.002855148,0,0.9402542,7.121362,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4731000,4579000,13421772800,0.00022734744,0.0041826195,0.0027614026,0,0.9780683,7.124399,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4747000,4595000,13421772800,0.00014813997,0.0038298243,0.002585876,0,1.0585339,7.130737,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4755000,4603000,13421772800,0.00011245764,0.0036597655,0.002503616,0,1.1008345,7.134037,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4763000,4611000,13421772800,7.919724e-05,0.0034931705,0.0024247172,0,1.1443135,7.137425,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4771000,4619000,13421772800,4.8260143e-05,0.0033317101,0.0023488435,0,1.1888429,7.1409006,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4787000,4635000,13421772800,7.618897e-06,0.003020788,0.0022071009,0,1.2806171,7.148114,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4795000,4643000,13421772800,3.186962e-05,0.0028716046,0.0021399355,0,1.327677,7.1518517,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
