timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning
43211000,43211000,5347000,47.3977508,8.5456074,0.12210097,-0.061617676,-0.10369873,0.0009668327,-0.000876257,-488.05307,0.18504046,-0.09556061,-0.012605979,0.017365148,0.008903486,0.027717499,0.0007337779,-0.26198727,-0.08620762,-0.01313351,1.6482173,0.031754363,0.0384394,1.5810819,0.00019135824,488.054,0.1000061,0.010000001,-488.05307,0.4913631,0.29652676,0.1782125,0.07600603,inf,inf,inf,inf,inf,1,1,1,1,3,3,2,1,1,0,1,1,0,3,0,0
43227000,43227000,5347000,47.3977508,8.5456074,0.122928366,-0.062041625,-0.10354614,0.0009668327,-0.000876257,-488.05307,0.18430103,-0.098779745,-0.014450893,0.015390301,0.008903486,0.027717499,0.0007337779,0.13575728,-0.2442572,-0.025893094,1.6482478,0.031739786,0.038432248,1.5810819,0.00019151706,488.054,0.1000061,0.010000001,-488.05307,0.4932268,0.297387,0.17885593,0.07614128,inf,inf,inf,inf,inf,1,1,1,1,3,3,2,1,1,0,1,1,0,3,0,0
43235000,43235000,5347000,47.3977508,8.5456074,0.12339634,-0.06229061,-0.10348511,0.0009668327,-0.000876257,-488.05307,0.18494976,-0.098053336,-0.014051158,0.015717097,0.008903486,0.027717499,0.0007337779,0.14255624,0.059243158,0.046000812,1.648371,0.031739935,0.03853751,1.5810819,0.00019159654,488.054,0.1000061,0.010000001,-488.05307,0.4941692,0.29781818,0.17921583,0.07620912,inf,inf,inf,inf,inf,1,1,1,1,3,3,2,1,1,0,1,1,0,3,0,0
43243000,43243000,5347000,47.3977508,8.5456074,0.12390157,-0.06255303,-0.10345459,0.0009668327,-0.000876257,-488.05307,0.18544385,-0.09830147,-0.015215692,0.0144744925,0.008903486,0.027717499,0.0007337779,0.12128543,-0.061585795,-0.14940089,1.6484938,0.031740084,0.038643368,1.5810819,0.00019167605,488.054,0.1000061,0.010000001,-488.05307,0.495115,0.2982501,0.17955743,0.07627669,inf,inf,inf,inf,inf,1,1,1,1,3,3,2,1,1,0,1,1,0,3,0,0
43251000,43251000,5347000,47.3977508,8.5456074,0.12444809,-0.062834196,-0.10342407,0.0009668327,-0.000876257,-488.05307,0.18730778,-0.09857886,-0.01599659,0.013610655,0.008903486,0.027717499,0.0007337779,0.2906294,-0.064289644,-0.10131671,1.6485919,0.031740233,0.038725503,1.5810819,0.0001917556,488.054,0.1000061,0.010000001,-488.05307,0.49606413,0.29868272,0.17992418,0.07634437,inf,inf,inf,inf,inf,1,1,1,1,3,3,2,1,1,0,1,1,0,3,0,0
43267000,43267000,5347000,47.3977508,8.5456074,0.12565283,-0.06345116,-0.10333252,0.0009668327,-0.000876257,-488.05307,0.1874884,-0.09955157,-0.01599754,0.013472838,0.008903486,0.027717499,0.0007337779,0.022551108,-0.12546436,0.010199844,1.6485974,0.03174056,0.038701065,1.5810819,0.00019191492,488.054,0.1000061,0.010000001,-488.05307,0.4979726,0.2984722,0.1806456,0.07634146,inf,inf,inf,inf,inf,1,1,1,1,3,3,2,1,1,0,1,1,0,3,0,0
43275000,43275000,5347000,47.3977508,8.5456074,0.126301,-0.06379162,-0.103271484,0.0009668327,-0.000876257,-488.05307,0.18789102,-0.10014259,-0.015689647,0.013704548,0.008903486,0.027717499,0.0007337779,0.102551214,-0.10075065,0.03469316,1.6487384,0.031740725,0.038828023,1.5810819,0.0001919947,488.054,0.1000061,0.010000001,-488.05307,0.49893194,0.29890537,0.18099526,0.076408915,inf,inf,inf,inf,inf,1,1,1,1,3,3,2,1,1,0,1,1,0,3,0,0
43283000,43283000,5347000,47.3977508,8.5456074,0.12698057,-0.064145446,-0.10324097,0.0009668327,-0.000876257,-488.05307,0.18821535,-0.099562764,-0.017196203,0.012117005,0.008903486,0.027717499,0.0007337779,0.09105117,0.046478353,-0.19198422,1.6489204,0.03174088,0.038996823,1.5810819,0.00019207448,488.054,0.1000061,0.010000001,-488.05307,0.49989468,0.2993393,0.18136781,0.076476604,inf,inf,inf,inf,inf,1,1,1,1,3,3,2,1,1,0,1,1,0,3,0,0
43291000,43291000,5347000,47.3977508,8.5456074,0.12768663,-0.064506985,-0.10324097,0.0009668327,-0.000876257,-488.05307,0.18833867,-0.098458454,-0.018826345,0.010401387,0.008903486,0.027717499,0.0007337779,0.06473208,0.11282811,-0.20730308,1.6490154,0.03172635,0.039079435,1.5810819,0.00019215434,488.054,0.1000061,0.010000001,-488.05307,0.50084794,0.2997739,0.1816818,0.07654429,inf,inf,inf,inf,inf,1,1,1,1,3,3,2,1,1,0,1,1,0,3,0,0
43307000,43307000,5347000,47.3977508,8.5456074,0.12703192,-0.064177595,-0.10296631,0.0009668327,-0.000876257,-488.05307,0.18744966,-0.09945105,-0.020393485,0.00895703,0.008903486,0.027717499,0.0007337779,0.06261171,-0.110789545,-0.09662937,1.6490941,0.0316101,0.039130695,1.5810819,0.00018822403,488.054,0.1000061,0.010000001,-488.05307,0.45874342,0.28601992,0.16396728,0.07402958,inf,inf,inf,inf,inf,1,1,1,1,3,3,2,1,1,0,1,1,0,3,0,0
