timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
2026320000,2026320000,0.7065997,0.7010123,0.7008687,0.70925874,nan,nan,nan,nan,nan,nan,nan,nan,0
2026420000,2026420000,0.7094879,0.69893986,0.7116997,0.702552,nan,nan,nan,nan,nan,nan,nan,nan,0
2026520000,2026520000,0.7060096,0.70315266,0.7040003,0.70673484,nan,nan,nan,nan,nan,nan,nan,nan,0
2026620000,2026620000,0.70795965,0.70426476,0.70816886,0.7010102,nan,nan,nan,nan,nan,nan,nan,nan,0
2026720000,2026720000,0.7044909,0.70786685,0.7067006,0.7013197,nan,nan,nan,nan,nan,nan,nan,nan,0
2026820000,2026820000,0.7093418,0.7052474,0.70620716,0.70267135,nan,nan,nan,nan,nan,nan,nan,nan,0
2026920000,2026920000,0.70342594,0.7065172,0.70717573,0.7033755,nan,nan,nan,nan,nan,nan,nan,nan,0
2027020000,2027020000,0.70425415,0.70573556,0.7096563,0.7041176,nan,nan,nan,nan,nan,nan,nan,nan,0
2027120000,2027120000,0.7071103,0.6999873,0.7086908,0.7021666,nan,nan,nan,nan,nan,nan,nan,nan,0
2027220000,2027220000,0.7050354,0.7086753,0.7071115,0.70729995,nan,nan,nan,nan,nan,nan,nan,nan,0
2027320000,2027320000,0.71076375,0.70115066,0.7094605,0.7031614,nan,nan,nan,nan,nan,nan,nan,nan,0
2027420000,2027420000,0.7131669,0.70218587,0.71068203,0.7020773,nan,nan,nan,nan,nan,nan,nan,nan,0
2027520000,2027520000,0.7074511,0.70499235,0.7046013,0.70500845,nan,nan,nan,nan,nan,nan,nan,nan,0
2027620000,2027620000,0.70342547,0.70915526,0.7057021,0.7067961,nan,nan,nan,nan,nan,nan,nan,nan,0
2027720000,2027720000,0.70526075,0.70250815,0.7078171,0.70280224,nan,nan,nan,nan,nan,nan,nan,nan,0
2027816000,2027816000,0.7076669,0.70257217,0.70703965,0.70220864,nan,nan,nan,nan,nan,nan,nan,nan,0
2027920000,2027920000,0.7053344,0.70317084,0.7096479,0.69936055,nan,nan,nan,nan,nan,nan,nan,nan,0
2028020000,2028020000,0.7098397,0.70179117,0.7104377,0.7039512,nan,nan,nan,nan,nan,nan,nan,nan,0
2028120000,2028120000,0.70368683,0.70465744,0.7087571,0.70403653,nan,nan,nan,nan,nan,nan,nan,nan,0
