timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
642224000,642066000,642072000,47.3979941,8.5459087,0,1.0,1.0,0.111128,-0.067416824,0.11605004,-0.07988027,1.1261095,1.1283906,0.00043865835,0.00016111543,0.0004875738,-0.00023439764,0,0,1
642624000,642466000,642472000,47.3980021,8.5459227,0,1.0,1.0,0.07467101,-0.07295729,0.09765936,-0.076803386,1.1260061,1.129241,0.00019807207,0.00018854316,0.00035890634,-0.00021401787,0,0,1
643024000,642866000,642872000,47.3980132,8.5459361,0,1.0,1.0,0.03929785,-0.059266027,0.071720906,-0.069009006,1.1258861,1.1297019,5.4865977e-05,0.00012436775,0.00022377729,-0.00017417337,0,0,1
643424000,643266000,643272000,47.398026099999996,8.545948899999999,0,1.0,1.0,-0.042416673,-0.09562939,0.020993091,-0.08084029,1.1257682,1.1296842,6.3926986e-05,0.00032380657,9.5908705e-05,-0.00024067702,0,0,1
643824000,643666000,643672000,47.398038,8.5459573,0,1.0,1.0,-0.078243956,-0.1138088,-0.023112267,-0.09549297,1.1256716,1.1292905,0.00021754538,0.00045878167,-4.340423e-05,-0.00033761244,0,0,1
644224000,644066000,644072000,47.3980482,8.5459592,0,1.0,1.0,-0.06399717,-0.08077303,-0.04128334,-0.088950776,1.1256871,1.1288123,0.0001455338,0.00023119106,-8.879516e-05,-0.00029031406,0,0,1
644624000,644466000,644472000,47.398057200000004,8.5459555,0,1.0,1.0,-0.079475455,-0.050656985,-0.058257613,-0.07193131,1.1257858,1.1282189,0.0002244245,9.097986e-05,-0.00014907487,-0.00020172106,0,0,1
645024000,644866000,644872000,47.398064299999994,8.5459477,0,1.0,1.0,-0.08159964,-0.027942117,-0.06863185,-0.052380554,1.1259209,1.1275675,0.00023655307,2.7697213e-05,-0.00018795408,-0.00012437713,0,0,1
645424000,645266000,645272000,47.398069299999996,8.5459376,0,1.0,1.0,-0.09685773,0.00252092,-0.08117668,-0.027979897,1.1260085,1.1269444,0.0003332628,2.2556704e-07,-0.00025253574,-6.8998146e-05,0,0,1
645816000,645662000,645664000,47.398071699999996,8.5459269,0,1.0,1.0,-0.08677314,0.04221139,-0.08365012,0.0030421428,1.1255604,1.1259546,0.00026758504,6.329923e-05,-0.00025918699,-1.0527438e-05,0,0,1
646224000,646066000,646072000,47.3980721,8.545916799999999,0,1.0,1.0,-0.051196758,0.02358746,-0.069146626,0.012223899,1.1260667,1.1260989,9.310667e-05,1.976268e-05,-0.00018496526,3.0092951e-06,0,0,1
646616000,646462000,646464000,47.3980725,8.545907,0,1.0,1.0,-0.0060424507,0.062154643,-0.041256838,0.034291506,1.1255212,1.1254762,1.2975753e-06,0.00013730009,-0.000103790706,6.2361025e-05,0,0,1
646824000,646666000,646672000,47.3980736,8.5459024,0,1.0,1.0,-0.03363976,0.047286324,-0.039049614,0.03805705,1.1150202,1.1150873,4.059598e-05,8.020885e-05,-8.54786e-05,6.7532834e-05,0,0,1
647224000,647070000,647072000,47.398078299999995,8.5458942,0,1.0,1.0,-0.0365472,0.060746077,-0.03793128,0.048196837,1.1163628,1.1165166,4.785891e-05,0.00013219994,-6.866626e-05,9.6432734e-05,0,0,1
647624000,647466000,647472000,47.3980854,8.5458874,0,1.0,1.0,-0.06397957,0.0805286,-0.049443692,0.06248632,1.117573,1.1178482,0.00014650983,0.00023204784,-0.00010307034,0.00015636976,0,0,1
648024000,647870000,647872000,47.3980932,8.545883,0,1.0,1.0,-0.101970114,0.078282416,-0.072917886,0.069545634,1.1186928,1.1190174,0.00037178767,0.00021905421,-0.00022316082,0.0001843836,0,0,1
648424000,648270000,648272000,47.39810000000001,8.5458806,0,1.0,1.0,-0.11286774,0.07164528,-0.09067338,0.07047881,1.119744,1.1200383,0.00045507288,0.00018331682,-0.00032623287,0.00018390948,0,0,1
648824000,648670000,648672000,47.3981061,8.5458793,0,1.0,1.0,-0.11482071,0.049272068,-0.10140553,0.061053593,1.1207294,1.1209621,0.0004705434,8.663046e-05,-0.0003903709,0.00014067435,0,0,1
649224000,649070000,649072000,47.398111799999995,8.5458781,0,1.0,1.0,-0.105791405,0.03211403,-0.10335481,0.048191562,1.121618,1.1217766,0.0003991313,3.67742e-05,-0.0003942644,9.449651e-05,0,0,1
649624000,649470000,649472000,47.398117299999996,8.5458763,0,1.0,1.0,-0.11568472,0.027924621,-0.10883477,0.039184034,1.1224098,1.1224937,0.00047693643,2.7787575e-05,-0.00043100753,6.484809e-05,0,0,1
650024000,649870000,649872000,47.398122199999996,8.545873799999999,0,1.0,1.0,-0.10262146,0.021582041,-0.1060733,0.031360924,1.1230894,1.123106,0.00037507835,1.6589154e-05,-0.00040615012,4.3399676e-05,0,0,1
650424000,650270000,650272000,47.3981266,8.5458707,0,1.0,1.0,-0.10473824,0.013969275,-0.10547994,0.023631303,1.1236668,1.1236268,0.0003905108,6.9468133e-06,-0.0003991993,2.7198403e-05,0,0,1
650824000,650670000,650672000,47.398130099999996,8.545867099999999,0,1.0,1.0,-0.09465509,0.010296759,-0.10066889,0.017704839,1.1241591,1.1240686,0.00031880135,3.7728391e-06,-0.00036346688,1.678704e-05,0,0,1
651224000,651070000,651072000,47.3981327,8.545863299999999,0,1.0,1.0,-0.08102735,0.016712941,-0.091939315,0.017263995,1.1245624,1.1244336,0.00023352841,9.936465e-06,-0.00030571644,1.374234e-05,0,0,1
651624000,651470000,651472000,47.398134399999996,8.545859499999999,0,1.0,1.0,-0.07425011,0.019648533,-0.08407745,0.01832379,1.1248925,1.1247368,0.0001960393,1.3729963e-05,-0.00025697105,1.373684e-05,0,0,1
652024000,651870000,651872000,47.3981353,8.5458558,0,1.0,1.0,-0.05389433,0.019285593,-0.07066273,0.018751258,1.1251674,1.1249919,0.00010325926,1.32244195e-05,-0.0001886547,1.3509098e-05,0,0,1
652424000,652270000,652272000,47.398135599999996,8.5458527,0,1.0,1.0,-0.034086965,0.010449928,-0.054406833,0.015061778,1.125392,1.1251968,4.1298365e-05,3.882023e-06,-0.00012316299,9.230398e-06,0,0,1
652824000,652670000,652672000,47.398135499999995,8.5458502,0,1.0,1.0,-0.024970463,0.012917767,-0.041324,0.014108884,1.1255803,1.1253631,2.2158312e-05,5.9311956e-06,-7.8272016e-05,7.764085e-06,0,0,1
653224000,653070000,653072000,47.3981351,8.545848699999999,0,1.0,1.0,-0.008551676,0.0011601166,-0.026758522,0.008353876,1.1257445,1.125505,2.5984993e-06,4.7831705e-08,-4.463934e-05,4.334639e-06,0,0,1
653624000,653470000,653472000,47.3981346,8.545847700000001,0,1.0,1.0,0.0060705324,0.0040404154,-0.01216783,0.006436782,1.1258755,1.1256151,1.3092518e-06,5.8012574e-07,-2.4217741e-05,2.6659663e-06,0,0,1
654024000,653870000,653872000,47.398134399999996,8.545847300000002,0,1.0,1.0,-0.005714035,0.003809078,-0.009299477,0.005268913,1.1259772,1.1257066,1.1598885e-06,5.155544e-07,-1.3969806e-05,1.7102276e-06,0,0,1
654424000,654270000,654272000,47.398134,8.545847300000002,0,1.0,1.0,0.02062178,0.005003785,0.0039988607,0.0051510786,1.1260697,1.1257901,1.5105916e-05,8.896103e-07,-1.0472622e-06,1.3455087e-06,0,0,1
