timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
657668000,0.006125274,-0.0058589596,-0.0053263158,4000,0,0.08020575,0.015562484,-9.78989,4000,0,0,0,1
657672000,0.0037284384,-0.0039947275,-0.010120013,4000,0,0.088585466,0.020350887,-9.786301,4000,0,0,0,1
657680000,0.0018641861,-0.00798949,0.0013315752,4000,0,0.070628956,0.11133056,-9.821015,4000,0,0,0,1
657684000,0.0015978796,-0.011984232,0.008522114,4000,0,0.083797075,0.08379723,-9.822214,4000,0,0,0,1
657688000,0.0029294484,-0.008788432,0.01358213,4000,0,0.06584056,0.04549001,-9.768345,4000,0,0,0,1
657692000,0.0010652791,-0.0114516,0.012783166,4000,0,0.037110135,0.002394372,-9.736021,4000,0,0,0,1
657696000,-0.0010652135,-0.01651161,0.005059996,4000,0,0.040701427,-0.029927356,-9.743204,4000,0,0,0,1
657704000,-0.0055926414,-0.009054752,0.0029294651,4000,0,-0.034715924,-0.039504156,-9.795878,4000,0,0,0,1
657708000,0.0031958073,-0.016511597,0.00079898856,4000,0,-0.034715924,-0.008379536,-9.828198,4000,0,0,0,1
657712000,0.0047936896,-0.016777914,0.0007989567,4000,0,-0.029927524,0.0035914748,-9.877279,4000,0,0,0,1
657720000,-0.0015979083,-0.018642116,0.0037284708,4000,0,0.06464346,-0.009576639,-9.72884,4000,0,0,0,1
657724000,0.00958738,-0.011984211,0.0023969107,4000,0,-0.0071826056,-0.009576639,-9.696517,4000,0,0,0,1
657728000,-0.0018642052,0.007456861,-0.0034620932,4000,0,-0.015562313,0.020350887,-9.795878,4000,0,0,0,1
657732000,-0.010119984,0.021038989,0.0018642254,4000,0,0.04668694,0.11133056,-9.908405,4000,0,0,0,1
657736000,0.007190568,0.017044257,0.0061251638,4000,0,0.028730419,0.089782745,-9.915586,4000,0,0,0,1
657740000,0.022104265,0.007723197,0.0069241123,4000,0,-0.016759416,0.028730594,-9.868902,4000,0,0,0,1
657744000,0.014913721,0.007989414,0.014114777,4000,0,0.017956512,0.029927697,-9.783907,4000,0,0,0,1
657752000,0.0063915886,-0.00026628975,-2.1352857e-08,4000,0,0.13048401,-0.07541719,-9.847351,4000,0,0,0,1
657756000,-0.00026631582,-0.00852211,-0.0034621283,4000,0,0.1209072,-0.10773892,-9.92277,4000,0,0,0,1
657764000,0.0029294763,0.011717911,-0.00053263025,4000,0,-0.04429273,-0.033518657,-9.8509445,4000,0,0,0,1
657768000,0.0023968855,0.0045273635,0.010120008,4000,0,-0.06105215,0.004788575,-9.782708,4000,0,0,0,1
657772000,-0.0002662621,-0.006125291,0.022104235,4000,0,0.034715924,-0.004788235,-9.677363,4000,0,0,0,1
657776000,-0.002929486,-0.0050600264,0.022370553,4000,0,0.062249243,-0.029927356,-9.756374,4000,0,0,0,1
657780000,0.0058588884,0.003994807,0.022104247,4000,0,0.041898537,0.005985678,-9.915586,4000,0,0,0,1
657784000,0.013848378,0.01118535,0.015978973,4000,0,0.02633622,0.023942191,-9.873688,4000,0,0,0,1
657788000,0.004527324,0.015712636,0.008788487,4000,0,-0.011971008,0.044292904,-9.776724,4000,0,0,0,1
657792000,0.00079896377,0.01810948,0.013049513,4000,0,0.06823475,0.038307402,-9.779117,4000,0,0,0,1
657796000,0.0031958856,0.013315815,0.024767386,4000,0,0.13287821,1.7048976e-07,-9.768345,4000,0,0,0,1
657800000,0.003195757,0.01491371,0.019441081,4000,0,0.020350713,0.023942187,-9.767147,4000,0,0,0,1
657804000,0.0023966837,0.022903204,-0.002663149,4000,0,-0.083797075,0.044292904,-9.849746,4000,0,0,0,1
657808000,-0.0058590593,0.02210426,-0.016245224,4000,0,-0.002394203,0.07781173,-9.921572,4000,0,0,0,1
657816000,0.011451713,0.019174723,0.006657816,4000,0,0.16998835,0.05267261,-9.865309,4000,0,0,0,1
657824000,-0.0071905367,0.0007989232,0.0007989666,4000,0,0.08619127,-0.020350542,-9.855732,4000,0,0,0,1
657828000,-0.0039947443,0.0047936765,-0.0053263335,4000,0,0.031124622,0.037110306,-9.872493,4000,0,0,0,1
657832000,-0.0031957836,0.00772317,-0.002130534,4000,0,-0.047884036,0.056263916,-9.897633,4000,0,0,0,1
657836000,-0.0026631425,0.0010652739,0.006924226,4000,0,-0.07661447,0.040701605,-9.879675,4000,0,0,0,1
657840000,-0.0026631604,0.000532632,0.0066579035,4000,0,-0.03711013,0.038307402,-9.841368,4000,0,0,0,1
657848000,0.0010652806,0.0063916007,0.01757686,4000,0,0.056263745,-0.014365041,-9.838972,4000,0,0,0,1
