timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4],yaw_composite_valid
650208000,650056000,1.1280143,0.0011571652,1.18019,1.1765888,1.180183,1.1801853,1.1801865,-0.040216684,-0.041022897,-0.040217757,-0.040216923,-0.040216804,-0.06388599,-0.06300813,-0.063883305,-0.0638836,-0.0638842,0.07141405,0.043378193,0.04710766,0.6960284,0.14207165,1
650216000,650064000,1.1280143,0.0011571652,1.1826605,1.179059,1.1826535,1.1826558,1.182657,-0.040216684,-0.041022897,-0.040217757,-0.040216923,-0.040216804,-0.06388599,-0.06300813,-0.063883305,-0.0638836,-0.0638842,0.07141405,0.043378193,0.04710766,0.6960284,0.14207165,1
650224000,650072000,1.1280143,0.0011571652,1.1851072,1.1815057,1.1851003,1.1851026,1.1851037,-0.040216684,-0.041022897,-0.040217757,-0.040216923,-0.040216804,-0.06388599,-0.06300813,-0.063883305,-0.0638836,-0.0638842,0.07141405,0.043378193,0.04710766,0.6960284,0.14207165,1
650232000,650080000,1.1280143,0.0011571652,1.1876059,1.1840045,1.187599,1.1876012,1.1876024,-0.040216684,-0.041022897,-0.040217757,-0.040216923,-0.040216804,-0.06388599,-0.06300813,-0.063883305,-0.0638836,-0.0638842,0.07141405,0.043378193,0.04710766,0.6960284,0.14207165,1
650240000,650088000,1.1280143,0.0011571652,1.1901568,1.1865551,1.1901498,1.190152,1.1901534,-0.040216684,-0.041022897,-0.040217757,-0.040216923,-0.040216804,-0.06388599,-0.06300813,-0.063883305,-0.0638836,-0.0638842,0.07141405,0.043378193,0.04710766,0.6960284,0.14207165,1
650248000,650096000,1.1280143,0.0011571652,1.1927466,1.1891451,1.1927397,1.192742,1.1927432,-0.040216684,-0.041022897,-0.040217757,-0.040216923,-0.040216804,-0.06388599,-0.06300813,-0.063883305,-0.0638836,-0.0638842,0.07141405,0.043378193,0.04710766,0.6960284,0.14207165,1
650256000,650104000,1.1280143,0.0011571652,1.1953338,1.1917322,1.1953267,1.1953292,1.1953304,-0.040216684,-0.041022897,-0.040217757,-0.040216923,-0.040216804,-0.06388599,-0.06300813,-0.063883305,-0.0638836,-0.0638842,0.07141405,0.043378193,0.04710766,0.6960284,0.14207165,1
650264000,650112000,1.1280143,0.0011571652,1.1980107,1.194409,1.1980038,1.198006,1.1980072,-0.040216684,-0.041022897,-0.040217757,-0.040216923,-0.040216804,-0.06388599,-0.06300813,-0.063883305,-0.0638836,-0.0638842,0.07141405,0.043378193,0.04710766,0.6960284,0.14207165,1
650272000,650120000,1.1280143,0.0011571652,1.2006712,1.1970699,1.2006643,1.2006667,1.200668,-0.040216684,-0.041022897,-0.040217757,-0.040216923,-0.040216804,-0.06388599,-0.06300813,-0.063883305,-0.0638836,-0.0638842,0.07141405,0.043378193,0.04710766,0.6960284,0.14207165,1
650280000,650128000,1.1280143,0.0011571652,1.2033682,1.1997665,1.2033613,1.2033637,1.2033647,-0.040216684,-0.041022897,-0.040217757,-0.040216923,-0.040216804,-0.06388599,-0.06300813,-0.063883305,-0.0638836,-0.0638842,0.07141405,0.043378193,0.04710766,0.6960284,0.14207165,1
