timestamp,load,ram_usage
152600000,0.12,0.16903415
153100000,0.1,0.16902062
153600000,0.08,0.16898856
154100000,0.1,0.16896601
154600000,0.08,0.1690086
155100000,0.1,0.1690612
155600000,0.08,0.16904767
156100000,0.08,0.16902763
156600000,0.1,0.16886179
157100000,0.1,0.16903666
157600000,0.1,0.16895849
158100000,0.1,0.16894747
158600000,0.08,0.16896752
159100000,0.1,0.16895148
159600000,0.1,0.16908976
160100000,0.1,0.16906771
160600000,0.12,0.16904517
161100000,0.08,0.1690617
161600000,0.1,0.16899808
162100000,0.1,0.1694009
162600000,0.1,0.1694009
163100000,0.1,0.16937937
163600000,0.12,0.16909176
164100000,0.1,0.16902463
164600000,0.12,0.16900459
165100000,0.1,0.1690101
165600000,0.1,0.16904517
166100000,0.1,0.16918094
166600000,0.12,0.16928616
167100000,0.08,0.16942847
167600000,0.1,0.16960633
168100000,0.14,0.16956425
168600000,0.12,0.16936032
169100000,0.09803922,0.16948608
169600000,0.10204082,0.16983129
170100000,0.08,0.16964741
170600000,0.08,0.1696409
171100000,0.09803922,0.16952366
171600000,0.1,0.16981827
172100000,0.08,0.17002921
172600000,0.1,0.16995806
173100000,0.1,0.16993701
173600000,0.1,0.16991498
174100000,0.08,0.16963539
174600000,0.1,0.1696399
175100000,0.08,0.16965443
175600000,0.1,0.16962887
176100000,0.1,0.1694956
176600000,0.08,0.1695913
177100000,0.1,0.17028674
177600000,0.1,0.17025667
178100000,0.06,0.17035086
178600000,0.1,0.1703599
179100000,0.12,0.17027722
179600000,0.1,0.17025267
180100000,0.1,0.17056783
180600000,0.08,0.17092556
