timestamp,timestamp_sample,device_id,pressure,temperature,error_count
57108000,57108000,6620428,95604.98,11.832727,0
58092000,58092000,6620428,95609.38,11.832727,0
59096000,59096000,6620428,95607.76,11.832727,0
60108000,60108000,6620428,95607.016,11.832727,0
61092000,61092000,6620428,95606.75,11.832727,0
62100000,62100000,6620428,95604.984,11.832727,0
63104000,63104000,6620428,95607.375,11.832727,0
64092000,64092000,6620428,95605.75,11.832727,0
65100000,65100000,6620428,95607.21,11.832727,0
66108000,66108000,6620428,95606.73,11.832727,0
67092000,67092000,6620428,95603.96,11.832727,0
68100000,68100000,6620428,95605.195,11.832727,0
69108000,69108000,6620428,95603.055,11.832727,0
70092000,70092000,6620428,95606.516,11.832727,0
71100000,71100000,6620428,95607.2,11.832727,0
72108000,72108000,6620428,95606.46,11.832727,0
73092000,73092000,6620428,95605.13,11.832727,0
74100000,74100000,6620428,95606.87,11.832727,0
75108000,75108000,6620428,95606.445,11.832727,0
76092000,76092000,6620428,95606.2,11.832727,0
77100000,77100000,6620428,95606.016,11.832727,0
78104000,78104000,6620428,95605.055,11.832727,0
79092000,79092000,6620428,95606.945,11.832727,0
80100000,80100000,6620428,95607.3,11.832727,0
81108000,81108000,6620428,95608.44,11.832727,0
82092000,82092000,6620428,95608.13,11.832727,0
83100000,83100000,6620428,95606.66,11.832727,0
84108000,84108000,6620428,95605.766,11.832727,0
85092000,85092000,6620428,95605.414,11.832727,0
86096000,86096000,6620428,95606.51,11.832727,0
87108000,87108000,6620428,95606.84,11.832727,0
88092000,88092000,6620428,95605.34,11.832727,0
89096000,89096000,6620428,95607.26,11.832727,0
90108000,90108000,6620428,95605.25,11.832727,0
91092000,91092000,6620428,95606.32,11.832727,0
92100000,92100000,6620428,95606.32,11.832727,0
93108000,93108000,6620428,95604.95,11.832727,0
94092000,94092000,6620428,95607.06,11.832727,0
95100000,95100000,6620428,95607.09,11.832727,0
96108000,96108000,6620428,95606.734,11.832727,0
97092000,97092000,6620428,95604.914,11.832727,0
98100000,98100000,6620428,95608.22,11.832727,0
99108000,99108000,6620428,95607.24,11.832727,0
100092000,100092000,6620428,95607.09,11.832727,0
101100000,101100000,6620428,95606.85,11.832727,0
102108000,102108000,6620428,95606.875,11.832727,0
103092000,103092000,6620428,95607.43,11.832727,0
104100000,104100000,6620428,95607.45,11.832727,0
105108000,105108000,6620428,95607.53,11.832727,0
106092000,106092000,6620428,95605.84,11.832727,0
107100000,107100000,6620428,95606.98,11.832727,0
108108000,108108000,6620428,95607.016,11.832727,0
109092000,109092000,6620428,95605.9,11.832727,0
110100000,110100000,6620428,95604.95,11.832727,0
111108000,111108000,6620428,95607.49,11.832727,0
112092000,112092000,6620428,95606.45,11.832727,0
113100000,113100000,6620428,95606.266,11.832727,0
114108000,114108000,6620428,95608.016,11.832727,0
115092000,115092000,6620428,95607.7,11.832727,0
116100000,116100000,6620428,95606.266,11.832727,0
117108000,117108000,6620428,95608.61,11.832727,0
118092000,118092000,6620428,95608.21,11.832727,0
119100000,119100000,6620428,95606.375,11.832727,0
120108000,120108000,6620428,95606.11,11.832727,0
121092000,121092000,6620428,95607.83,11.832727,0
122100000,122100000,6620428,95606.07,11.832727,0
123108000,123108000,6620428,95605.914,11.832727,0
124092000,124092000,6620428,95605.39,11.832727,0
125100000,125100000,6620428,95606.484,11.832727,0
126108000,126108000,6620428,95606.66,11.832727,0
127092000,127092000,6620428,95606.055,11.832727,0
128100000,128100000,6620428,95605.89,11.832727,0
129108000,129108000,6620428,95605.875,11.832727,0
130092000,130092000,6620428,95604.67,11.832727,0
131100000,131100000,6620428,95605.4,11.832727,0
132108000,132108000,6620428,95607.1,11.832727,0
133092000,133092000,6620428,95606.15,11.832727,0
134100000,134100000,6620428,95608.19,11.832727,0
