timestamp,lat,lon,alt,x,y,z,roll,pitch,yaw,update_count,valid_alt,valid_hpos,valid_lpos,manual_home
2776000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,108,1,1,0,0
2788000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,109,1,1,0,0
2800000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,110,1,1,0,0
2812000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,111,1,1,0,0
2824000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,112,1,1,0,0
2836000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,113,1,1,0,0
2848000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,114,1,1,0,0
2860000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,115,1,1,0,0
2872000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,116,1,1,0,0
2884000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,117,1,1,0,0
2896000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,118,1,1,0,0
2908000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,119,1,1,0,0
2920000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,120,1,1,0,0
2932000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,121,1,1,0,0
2944000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,122,1,1,0,0
2956000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,123,1,1,0,0
2968000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,124,1,1,0,0
2980000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,125,1,1,0,0
2992000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,126,1,1,0,0
3004000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,127,1,1,0,0
3016000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,128,1,1,0,0
3028000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,129,1,1,0,0
3040000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,130,1,1,0,0
3052000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,0.0,131,1,1,0,0
3064000,47.3977508,8.5456074,488.107,0.0,0.0,0.0,0.0,0.0,1.5851339,131,1,1,0,0
4300000,47.39775093646587,8.54560758126839,488.11227,0.0151743125,0.01364378,-0.005279541,-0.0030208617,-0.0007237498,1.5856199,132,1,1,1,0
