timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,source_type,source_id
84796000,0,0,0,0,0
85300000,0,0,0,0,0
85804000,0,0,0,0,0
86308000,0,0,0,0,0
86812000,0,0,0,0,0
87316000,0,0,0,0,0
87820000,0,0,0,0,0
88324000,0,0,0,0,0
88828000,0,0,0,0,0
89332000,0,0,0,0,0
89836000,0,0,0,0,0
90340000,0,0,0,0,0
90844000,0,0,0,0,0
91348000,0,0,0,0,0
91852000,0,0,0,0,0
92356000,0,0,0,0,0
92860000,0,0,0,0,0
93364000,0,0,0,0,0
93868000,0,0,0,0,0
94372000,0,0,0,0,0
94876000,0,0,0,0,0
95380000,0,0,0,0,0
95884000,0,0,0,0,0
96388000,0,0,0,0,0
96892000,0,0,0,0,0
97396000,0,0,0,0,0
97900000,0,0,0,0,0
98404000,0,0,0,0,0
98908000,0,0,0,0,0
99412000,0,0,0,0,0
99916000,0,0,0,0,0
100420000,0,0,0,0,0
100924000,0,0,0,0,0
101428000,0,0,0,0,0
101932000,0,0,0,0,0
102436000,0,0,0,0,0
102940000,0,0,0,0,0
103444000,0,0,0,0,0
103948000,0,0,0,0,0
104452000,0,0,0,0,0
104956000,0,0,0,0,0
105460000,0,0,0,0,0
105964000,0,0,0,0,0
106468000,0,0,0,0,0
106972000,0,0,0,0,0
107476000,0,0,0,0,0
107980000,0,0,0,0,0
108484000,0,0,0,0,0
108988000,0,0,0,0,0
109492000,0,0,0,0,0
109996000,0,0,0,0,0
110500000,0,0,0,0,0
111004000,0,0,0,0,0
111508000,0,0,0,0,0
112012000,0,0,0,0,0
112516000,0,0,0,0,0
113020000,0,0,0,0,0
113524000,0,0,0,0,0
114028000,0,0,0,0,0
114532000,0,0,0,0,0
115036000,0,0,0,0,0
115540000,0,0,0,0,0
116044000,0,0,0,0,0
116548000,0,0,0,0,0
117052000,0,0,0,0,0
117556000,0,0,0,0,0
118060000,0,0,0,0,0
118564000,0,0,0,0,0
119068000,0,0,0,0,0
119572000,0,0,0,0,0
120076000,0,0,0,0,0
120580000,0,0,0,0,0
121084000,0,0,0,0,0
121588000,0,0,0,0,0
122092000,0,0,0,0,0
122596000,0,0,0,0,0
123100000,0,0,0,0,0
123604000,0,0,0,0,0
124108000,0,0,0,0,0
124612000,0,0,0,0,0
125116000,0,0,0,0,0
125620000,0,0,0,0,0
126124000,0,0,0,0,0
126628000,0,0,0,0,0
127132000,0,0,0,0,0
127636000,0,0,0,0,0
128140000,0,0,0,0,0
128644000,0,0,0,0,0
129148000,0,0,0,0,0
129652000,0,0,0,0,0
130156000,0,0,0,0,0
130660000,0,0,0,0,0
131164000,0,0,0,0,0
131668000,0,0,0,0,0
132172000,0,0,0,0,0
132676000,0,0,0,0,0
133180000,0,0,0,0,0
133684000,0,0,0,0,0
134188000,0,0,0,0,0
134692000,0,0,0,0,0
135196000,0,0,0,0,0
135700000,0,0,0,0,0
136204000,0,0,0,0,0
136708000,0,0,0,0,0
137212000,0,0,0,0,0
137716000,0,0,0,0,0
138220000,0,0,0,0,0
138724000,0,0,0,0,0
139228000,0,0,0,0,0
139732000,0,0,0,0,0
140236000,0,0,0,0,0
140740000,0,0,0,0,0
141244000,0,0,0,0,0
141748000,0,0,0,0,0
142252000,0,0,0,0,0
142756000,0,0,0,0,0
143260000,0,0,0,0,0
143764000,0,0,0,0,0
144268000,0,0,0,0,0
144772000,0,0,0,0,0
145276000,0,0,0,0,0
145780000,0,0,0,0,0
146284000,0,0,0,0,0
146788000,0,0,0,0,0
147292000,0,0,0,0,0
147796000,0,0,0,0,0
148300000,0,0,0,0,0
148804000,0,0,0,0,0
149308000,0,0,0,0,0
149812000,0,0,0,0,0
150316000,0,0,0,0,0
150820000,0,0,0,0,0
151324000,0,0,0,0,0
151828000,0,0,0,0,0
152332000,0,0,0,0,0
152836000,0,0,0,0,0
153340000,0,0,0,0,0
153844000,0,0,0,0,0
154348000,0,0,0,0,0
154852000,0,0,0,0,0
155356000,0,0,0,0,0
155860000,0,0,0,0,0
156364000,0,0,0,0,0
156868000,0,0,0,0,0
157372000,0,0,0,0,0
157876000,0,0,0,0,0
158380000,0,0,0,0,0
158884000,0,0,0,0,0
159388000,0,0,0,0,0
159892000,0,0,0,0,0
160396000,0,0,0,0,0
160900000,0,0,0,0,0
161404000,0,0,0,0,0
161908000,0,0,0,0,0
162412000,0,0,0,0,0
162916000,0,0,0,0,0
163420000,0,0,0,0,0
163924000,0,0,0,0,0
164428000,0,0,0,0,0
164932000,0,0,0,0,0
165436000,0,0,0,0,0
165940000,0,0,0,0,0
166444000,0,0,0,0,0
166948000,0,0,0,0,0
167452000,0,0,0,0,0
167956000,0,0,0,0,0
168460000,0,0,0,0,0
168964000,0,0,0,0,0
169468000,0,0,0,0,0
169972000,0,0,0,0,0
170476000,0,0,0,0,0
170980000,0,0,0,0,0
171484000,0,0,0,0,0
171988000,0,0,0,0,0
172492000,0,0,0,0,0
172996000,0,0,0,0,0
173500000,0,0,0,0,0
174004000,0,0,0,0,0
174508000,0,0,0,0,0
175012000,0,0,0,0,0
175516000,0,0,0,0,0
176020000,0,0,0,0,0
176524000,0,0,0,0,0
177028000,0,0,0,0,0
177532000,0,0,0,0,0
178036000,0,0,0,0,0
178540000,0,0,0,0,0
179044000,0,0,0,0,0
179548000,0,0,0,0,0
180052000,0,0,0,0,0
180556000,0,0,0,0,0
