timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
29636000,29636000,1310988,1310988,1.0651876e-06,-2.2370603e-05,-3.9414765e-05,-0.00012449849,0.00024420928,-0.03904943,4000,4000,0,0,0,1
30136000,30136000,1310988,1310988,-9.587294e-06,3.5153782e-05,2.237051e-05,0.00010534487,-0.00056981936,-0.039236177,4000,4000,0,0,0,1
30636000,30636000,1310988,1310988,7.456947e-06,-1.0652528e-05,-2.5566373e-05,-0.00030645786,0.00029209335,-0.03903507,4000,4000,0,0,0,1
31136000,31136000,1310988,1310988,9.587394e-06,7.4567815e-06,3.5153746e-05,0.0003782839,9.577496e-06,-0.039274484,4000,4000,0,0,0,1
31636000,31636000,1310988,1310988,4.2610836e-06,-3.195791e-05,3.0892705e-05,0.0001197101,-0.00014843985,-0.03948997,4000,4000,0,0,0,1
32136000,32136000,1310988,1310988,-1.4913692e-05,-5.326393e-06,2.5566342e-05,-0.00010055649,0.00011971079,-0.039494753,4000,4000,0,0,0,1
32636000,32636000,1310988,1310988,-3.728433e-05,1.3848264e-05,-2.130423e-06,0.0003303999,-8.140217e-05,-0.039403778,4000,4000,0,0,0,1
33136000,33136000,1310988,1310988,-4.3675816e-05,2.6631697e-05,-2.5566318e-05,-0.00022984337,-0.00017717025,-0.038848322,4000,4000,0,0,0,1
33636000,33636000,1310988,1310988,-4.5806377e-05,1.9174748e-05,-6.391632e-06,0.0004884172,-0.00022984267,-0.03933674,4000,4000,0,0,0,1
34136000,34136000,1310988,1310988,-7.456918e-06,-3.3023192e-05,2.130512e-06,-7.6614466e-05,7.182674e-05,-0.039308008,4000,4000,0,0,0,1
34636000,34636000,1310988,1310988,-5.7524267e-05,-1.9174577e-05,-4.2610693e-05,-0.00019632454,-0.00043574406,-0.03893451,4000,4000,0,0,0,1
35136000,35136000,1310988,1310988,-3.6218982e-05,2.1305018e-06,-8.522189e-06,-0.0003303999,0.00025378607,-0.039432503,4000,4000,0,0,0,1
35636000,35636000,1310988,1310988,-2.6631631e-05,-1.5978947e-05,-3.089267e-05,-0.00012928691,-5.7460154e-05,-0.03935589,4000,4000,0,0,0,1
36136000,36136000,1310988,1310988,5.1132687e-05,-2.450115e-05,-7.456718e-06,-0.00011492168,6.224993e-05,-0.03903028,4000,4000,0,0,0,1
36636000,36636000,1310988,1310988,5.1132647e-05,-9.5875985e-06,4.154533e-05,0.00049799395,0.000110133966,-0.039039854,4000,4000,0,0,0,1
37136000,37136000,1310988,1310988,-3.3023258e-05,2.3435981e-05,-4.4740988e-05,-0.0003399767,5.7461537e-05,-0.03984909,4000,4000,0,0,0,1
37636000,37636000,1310988,1310988,-2.3435945e-05,1.0652287e-06,-3.408838e-05,-0.00016759415,-8.140217e-05,-0.039236177,4000,4000,0,0,0,1
38136000,38136000,1310988,1310988,2.1305277e-05,-2.3435832e-05,-1.0652651e-05,0.00014365211,0.00017238322,-0.039480392,4000,4000,0,0,0,1
38636000,38636000,1310988,1310988,3.1956977e-06,9.587218e-06,4.9002207e-05,-5.7460846e-05,-0.0006129151,-0.03898239,4000,4000,0,0,0,1
39136000,39136000,1310988,1310988,3.1957912e-05,3.40885e-05,2.5566333e-05,6.2249244e-05,-1.4364522e-05,-0.0393511,4000,4000,0,0,0,1
39636000,39636000,1310988,1310988,-4.2610645e-05,2.8762079e-05,2.7696848e-05,0.0002394202,9.0980364e-05,-0.039432503,4000,4000,0,0,0,1
40136000,40136000,1310988,1310988,5.3263775e-06,-1.5978969e-05,-9.587354e-06,0.00018674775,2.3942708e-05,-0.03961925,4000,4000,0,0,0,1
40636000,40636000,1310988,1310988,1.065251e-06,1.0959998e-12,-3.1957984e-06,-0.0002442086,-0.0001053442,-0.038968027,4000,4000,0,0,0,1
41136000,41136000,1310988,1310988,1.7044269e-05,-4.338226e-11,1.4913663e-05,-1.9153616e-05,9.577497e-06,-0.039173935,4000,4000,0,0,0,1
41636000,41636000,1310988,1310988,-4.047983e-05,-3.1957974e-05,5.326337e-05,-9.5768075e-05,5.2673124e-05,-0.03910211,4000,4000,0,0,0,1
42136000,42136000,1310988,1310988,4.2610645e-05,-1.0652399e-05,7.7357974e-11,-2.3942019e-05,4.789089e-06,-0.039298434,4000,4000,0,0,0,1
42636000,42636000,1310988,1310988,2.4500967e-05,-2.663165e-05,1.9174864e-05,-5.746084e-05,-0.0003303992,-0.038891412,4000,4000,0,0,0,1
43136000,43136000,1310988,1310988,3.7284324e-05,-2.0239926e-05,-1.4913677e-05,0.0,-0.0003351876,-0.039547425,4000,4000,0,0,0,1
43636000,43636000,1310988,1310988,-6.3916673e-06,-1.9174739e-05,-8.522104e-06,0.00044532155,0.0001628064,-0.03952349,4000,4000,0,0,0,1
44136000,44136000,1310988,1310988,-1.3848327e-05,2.2370656e-05,-4.7936894e-05,-0.00026815064,0.0006320699,-0.03921224,4000,4000,0,0,0,1
44636000,44636000,1310988,1310988,2.1305627e-06,1.8109497e-05,-1.8109498e-05,-2.8730423e-05,0.0002633629,-0.039164353,4000,4000,0,0,0,1
45136000,45136000,1310988,1310988,-6.391676e-06,-1.4913644e-05,-8.522153e-06,0.00024899698,-0.00026814995,-0.039327163,4000,4000,0,0,0,1
45636000,45636000,1310988,1310988,4.9001977e-05,2.2370554e-05,-3.089297e-05,8.140285e-05,-0.0003351876,-0.03931279,4000,4000,0,0,0,1
46136000,46136000,1310988,1310988,-2.3435614e-05,4.9002392e-05,-3.9414626e-05,9.097968e-05,3.8307913e-05,-0.039063804,4000,4000,0,0,0,1
46636000,46636000,1310988,1310988,-1.8109447e-05,-2.0240086e-05,3.5153727e-05,-0.00014844052,0.00011013397,-0.038838744,4000,4000,0,0,0,1
47136000,47136000,1310988,1310988,-2.0240057e-05,2.5566318e-05,5.326361e-06,0.0004788404,-0.0005123585,-0.039092522,4000,4000,0,0,0,1
47636000,47636000,1310988,1310988,5.858963e-05,-4.900203e-05,-2.0240137e-05,0.00012928691,-0.00022505427,-0.039753333,4000,4000,0,0,0,1
48136000,48136000,1310988,1310988,-6.391508e-06,4.2610583e-05,1.810952e-05,-0.00020590138,-0.00030645716,-0.039145205,4000,4000,0,0,0,1
48636000,48636000,1310988,1310988,1.0652664e-05,2.1305245e-06,-3.728425e-05,0.0004836288,-0.0005506657,-0.039331954,4000,4000,0,0,0,1
49136000,49136000,1310988,1310988,4.26098e-06,-2.4501096e-05,-1.0653318e-06,0.0003351883,-0.0002059007,-0.039542634,4000,4000,0,0,0,1
49636000,49636000,1310988,1310988,2.4501058e-05,-2.6631646e-05,1.5978958e-05,-0.00011013329,0.0001628064,-0.039245754,4000,4000,0,0,0,1
50136000,50136000,1310988,1310988,1.810951e-05,-2.450109e-05,-9.58735e-06,0.00016280572,-0.00015322826,-0.03850834,4000,4000,0,0,0,1
50636000,50636000,1310988,1310988,4.2610613e-05,2.1307706e-06,-1.3848306e-05,-4.788403e-06,-0.00012928621,-0.03888663,4000,4000,0,0,0,1
51136000,51136000,1310988,1310988,2.1305746e-06,7.243799e-05,-2.7696882e-05,-0.00049320556,-2.872974e-05,-0.039135627,4000,4000,0,0,0,1
51636000,51636000,1310988,1310988,-1.4913748e-05,2.0239897e-05,-9.480856e-05,0.0001436521,-0.00019153545,-0.03934631,4000,4000,0,0,0,1
52136000,52136000,1310988,1310988,-2.7696875e-05,-3.1959503e-06,-2.3435805e-05,0.00019632454,-0.00011970942,-0.039341528,4000,4000,0,0,0,1
52636000,52636000,1310988,1310988,-4.580637e-05,-2.4501078e-05,3.4088487e-05,1.436521e-05,5.7461526e-05,-0.039173935,4000,4000,0,0,0,1
53136000,53136000,1310988,1310988,9.587337e-06,-6.3913676e-06,7.137275e-05,-8.140286e-05,-0.00056024257,-0.039063804,4000,4000,0,0,0,1
53636000,53636000,1310988,1310988,7.457055e-06,-3.195793e-05,-4.580635e-05,-0.00012928691,0.00011013398,-0.039442085,4000,4000,0,0,0,1
54136000,54136000,1310988,1310988,-4.5806366e-05,3.5153662e-05,1.5979138e-05,-0.00043095637,-0.00017238186,-0.039011125,4000,4000,0,0,0,1
54636000,54636000,1310988,1310988,-6.0719947e-05,3.302341e-05,1.491379e-05,0.00018195936,0.0002585745,-0.039557006,4000,4000,0,0,0,1
55136000,55136000,1310988,1310988,-4.261125e-06,-3.6219015e-05,-1.5978905e-05,4.788404e-05,-0.00013407462,-0.039327163,4000,4000,0,0,0,1
55636000,55636000,1310988,1310988,-3.3023305e-05,-2.2370541e-05,-4.4741042e-05,2.3942017e-05,0.00020590205,-0.039499544,4000,4000,0,0,0,1
56136000,56136000,1310988,1310988,4.2609886e-06,2.2370563e-05,4.2610864e-06,0.0002442086,0.00037349618,-0.038968027,4000,4000,0,0,0,1
56636000,56636000,1310988,1310988,-1.2783034e-05,1.3848498e-05,3.7284284e-05,0.0003734955,-0.00031603395,-0.038905777,4000,4000,0,0,0,1
57136000,57136000,1310988,1310988,3.834966e-05,5.432839e-05,5.3263766e-06,-0.0001197101,-0.00016280502,-0.039580945,4000,4000,0,0,0,1
57636000,57636000,1310988,1310988,-5.0067443e-05,-5.7524223e-05,-4.7936974e-05,-0.00015322893,2.8731107e-05,-0.03915478,4000,4000,0,0,0,1
58136000,58136000,1310988,1310988,7.456914e-06,-1.9174728e-05,1.0652661e-05,0.0003351883,3.3519515e-05,-0.039288856,4000,4000,0,0,0,1
58636000,58636000,1310988,1310988,1.0652473e-06,4.9002065e-05,2.8762322e-05,-0.0001388637,5.2673127e-05,-0.039413355,4000,4000,0,0,0,1
