timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err,check_fail_spoofed_gps
21232000,21074000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
21632000,21474000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
22032000,21874000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
22432000,22274000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
22832000,22674000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
23232000,23074000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
23632000,23474000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
24032000,23874000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
24432000,24274000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
24832000,24674000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
25232000,25074000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
25632000,25474000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
26032000,25874000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
26432000,26274000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
26832000,26674000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
27232000,27074000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
27632000,27474000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
28032000,27874000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
28432000,28274000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
28832000,28674000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
29232000,29074000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
29632000,29474000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
30032000,29874000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
30424000,30270000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
