timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
14776000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
15280000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
15784000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
16288000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
16792000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
17296000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
17800000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
18304000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
18808000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
19312000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
19816000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
20320000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
20824000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
21328000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
21832000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
22336000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
22840000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
23344000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
23848000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
24352000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
24856000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
25360000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
25864000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
26368000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
26872000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
27376000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
27880000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
28384000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
28888000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
29392000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
29896000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
30400000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
30904000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
31408000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
31912000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
32416000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
32920000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
33424000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
33928000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
34432000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
34936000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
35440000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
35944000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
36448000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
36952000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
37456000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
37960000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
38464000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
38968000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
39472000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
39976000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
40480000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
